h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
1,Austin,29.8866295,-96.2769282,63,53,78,77,67,54,58,51,50,47,56,26,27,43,20,30,2,Brazoria,29.1610141,-95.4534698
1,Austin,29.8866295,-96.2769282,6,4,3,9,5,6,7,4,1,1,4,2,1,1,1,2,3,Chambers,29.7163792,-94.6962763
1,Austin,29.8866295,-96.2769282,285,320,268,274,288,285,247,194,213,200,245,274,267,195,196,127,4,Colorado,29.6309593,-96.5443489
1,Austin,29.8866295,-96.2769282,1069,984,969,1092,913,852,832,763,769,646,654,682,541,562,532,439,5,Fort Bend,29.520214,-95.787262
1,Austin,29.8866295,-96.2769282,19,33,20,23,0,0,0,37,17,18,26,8,14,20,17,29,6,Galveston,29.3294758,-94.8954605
1,Austin,29.8866295,-96.2769282,4771,4670,4785,4984,4930,4804,4861,4629,4730,4590,4248,3447,3231,3077,3105,3100,7,Harris,29.829487,-95.4614249
1,Austin,29.8866295,-96.2769282,43,39,38,42,54,41,42,23,39,31,28,28,28,27,30,27,8,Liberty,30.1509076,-94.8587991
1,Austin,29.8866295,-96.2769282,4,1,4,2,0,0,0,2,4,3,2,2,0,0,0,2,9,Matagorda,28.8152727,-96.0284508
1,Austin,29.8866295,-96.2769282,370,385,335,373,360,344,338,249,269,358,218,153,140,155,125,124,10,Montgomery,30.3209926,-95.5279082
1,Austin,29.8866295,-96.2769282,84,65,76,69,89,91,83,79,97,97,59,46,29,18,39,28,11,Walker,30.7154629,-95.5878106
1,Austin,29.8866295,-96.2769282,708,811,603,587,598,504,464,394,445,492,514,550,551,561,497,359,12,Waller,29.9363935,-96.0026834
1,Austin,29.8866295,-96.2769282,146,152,118,203,166,152,155,88,65,76,64,91,91,73,87,92,13,Wharton,29.2649159,-96.2705795
