d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
1,Austin,29.8866295,-96.2769282,126,100,100,143,158,148,179,78,89,109,75,74,52,30,63,55,2,Brazoria,29.1610141,-95.4534698
1,Austin,29.8866295,-96.2769282,7,16,11,14,11,6,12,12,10,10,11,0,7,0,0,3,3,Chambers,29.7163792,-94.6962763
1,Austin,29.8866295,-96.2769282,328,364,342,308,412,440,504,725,701,598,532,596,456,393,351,244,4,Colorado,29.6309593,-96.5443489
1,Austin,29.8866295,-96.2769282,585,564,596,590,577,604,729,808,828,836,764,366,346,365,209,314,5,Fort Bend,29.520214,-95.787262
1,Austin,29.8866295,-96.2769282,90,73,76,66,61,44,60,57,67,69,61,43,33,29,28,28,6,Galveston,29.3294758,-94.8954605
1,Austin,29.8866295,-96.2769282,1264,1338,1364,1300,1312,1453,1524,1704,1864,1949,1710,1550,1202,967,972,1117,7,Harris,29.829487,-95.4614249
1,Austin,29.8866295,-96.2769282,14,30,25,20,26,24,29,19,24,30,24,27,20,17,16,19,8,Liberty,30.1509076,-94.8587991
1,Austin,29.8866295,-96.2769282,46,51,65,156,198,230,269,37,62,36,54,18,18,17,16,30,9,Matagorda,28.8152727,-96.0284508
1,Austin,29.8866295,-96.2769282,226,220,201,191,194,188,156,147,174,196,147,115,86,88,61,78,10,Montgomery,30.3209926,-95.5279082
1,Austin,29.8866295,-96.2769282,11,9,13,10,21,26,20,11,9,3,7,0,4,0,0,0,11,Walker,30.7154629,-95.5878106
1,Austin,29.8866295,-96.2769282,359,343,329,321,351,329,329,356,381,258,280,175,126,94,97,130,12,Waller,29.9363935,-96.0026834
1,Austin,29.8866295,-96.2769282,127,98,135,165,209,282,420,360,410,398,357,162,224,176,90,199,13,Wharton,29.2649159,-96.2705795
