h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
2,Brazoria,29.1610141,-95.4534698,126,100,100,143,158,148,179,78,89,109,75,74,52,30,63,55,1,Austin,29.8866295,-96.2769282
2,Brazoria,29.1610141,-95.4534698,302,220,200,197,189,162,237,180,159,209,177,142,163,98,63,52,3,Chambers,29.7163792,-94.6962763
2,Brazoria,29.1610141,-95.4534698,37,49,38,51,49,44,67,27,30,44,35,39,38,13,18,22,4,Colorado,29.6309593,-96.5443489
2,Brazoria,29.1610141,-95.4534698,6568,6491,6331,6061,6017,5606,5490,4888,4748,4554,4240,4195,3538,3095,3033,2776,5,Fort Bend,29.520214,-95.787262
2,Brazoria,29.1610141,-95.4534698,7129,7042,6487,6298,6342,5994,6306,6054,5792,5735,5923,5666,5027,4606,4626,4422,6,Galveston,29.3294758,-94.8954605
2,Brazoria,29.1610141,-95.4534698,74608,73903,74139,72526,69441,67844,69685,66286,65959,65484,62996,61705,58563,51886,50478,49855,7,Harris,29.829487,-95.4614249
2,Brazoria,29.1610141,-95.4534698,206,172,207,228,201,189,205,132,158,185,203,173,155,157,154,151,8,Liberty,30.1509076,-94.8587991
2,Brazoria,29.1610141,-95.4534698,1020,969,1052,965,937,965,1171,1135,990,1011,915,1005,928,750,715,696,9,Matagorda,28.8152727,-96.0284508
2,Brazoria,29.1610141,-95.4534698,1898,1796,1675,1666,1580,1545,1694,1523,1361,1499,1304,1058,950,844,819,887,10,Montgomery,30.3209926,-95.5279082
2,Brazoria,29.1610141,-95.4534698,395,397,386,263,285,254,323,314,371,406,426,481,424,413,477,415,11,Walker,30.7154629,-95.5878106
2,Brazoria,29.1610141,-95.4534698,191,131,115,183,286,281,241,103,140,154,183,111,120,121,85,85,12,Waller,29.9363935,-96.0026834
2,Brazoria,29.1610141,-95.4534698,403,351,386,449,458,431,514,317,363,471,510,495,363,319,305,278,13,Wharton,29.2649159,-96.2705795
