d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
2,Brazoria,29.1610141,-95.4534698,63,53,78,77,67,54,58,51,50,47,56,26,27,43,20,30,1,Austin,29.8866295,-96.2769282
2,Brazoria,29.1610141,-95.4534698,266,256,263,401,627,577,539,184,185,149,123,101,96,86,92,94,3,Chambers,29.7163792,-94.6962763
2,Brazoria,29.1610141,-95.4534698,155,137,156,248,305,276,262,134,114,88,125,95,108,89,91,75,4,Colorado,29.6309593,-96.5443489
2,Brazoria,29.1610141,-95.4534698,6518,6033,6171,5552,5289,5113,4357,3623,3424,3563,3385,2160,2286,2279,1990,1959,5,Fort Bend,29.520214,-95.787262
2,Brazoria,29.1610141,-95.4534698,7190,7074,6985,6387,6339,6120,5409,4977,4901,5469,5397,4740,4350,4593,4554,4139,6,Galveston,29.3294758,-94.8954605
2,Brazoria,29.1610141,-95.4534698,26461,24760,25062,23430,21822,21137,20046,17749,17514,18679,18782,16487,15327,15283,14218,13651,7,Harris,29.829487,-95.4614249
2,Brazoria,29.1610141,-95.4534698,487,503,568,768,1025,1003,955,448,386,415,329,274,290,276,273,257,8,Liberty,30.1509076,-94.8587991
2,Brazoria,29.1610141,-95.4534698,1419,1413,1461,1485,1641,1711,1581,1414,1215,1283,1302,1010,1194,1343,1411,1191,9,Matagorda,28.8152727,-96.0284508
2,Brazoria,29.1610141,-95.4534698,1890,1761,1812,1879,2136,1958,1956,1264,1198,1062,1074,885,869,927,751,696,10,Montgomery,30.3209926,-95.5279082
2,Brazoria,29.1610141,-95.4534698,96,94,79,109,173,194,194,87,57,68,48,27,29,37,35,23,11,Walker,30.7154629,-95.5878106
2,Brazoria,29.1610141,-95.4534698,122,123,117,135,114,112,131,112,82,93,109,86,71,68,68,60,12,Waller,29.9363935,-96.0026834
2,Brazoria,29.1610141,-95.4534698,727,773,722,771,886,902,857,711,560,597,640,395,493,498,534,488,13,Wharton,29.2649159,-96.2705795
