h_ct,h_lat,h_lon
48015760100,29.66414692,-96.10298513
48015760200,29.7828335,-96.10765895
48015760300,29.79322517,-96.24916995
48015760400,29.96097094,-96.4545312
48015760501,30.02948835,-96.28303013
48015760502,29.94195181,-96.17883489
48039660100,29.55237853,-95.23175252
48039660200,29.51233876,-95.23714176
48039660300,29.54406156,-95.26109247
48039660400,29.57580439,-95.27143274
48039660500,29.57783454,-95.31804696
48039660601,29.57156036,-95.36953279
48039660602,29.53281592,-95.41160357
48039660701,29.54945873,-95.35809444
48039660702,29.50913891,-95.36363215
48039660801,29.5530748,-95.30993522
48039660802,29.53973517,-95.30516203
48039660900,29.50593203,-95.28771291
48039661000,29.46626559,-95.29754248
48039661100,29.44099195,-95.22842801
48039661200,29.41540354,-95.23766882
48039661300,29.42824841,-95.25816429
48039661400,29.40908583,-95.25990536
48039661501,29.43899853,-95.32439751
48039661502,29.3918801,-95.31192601
48039661601,29.39109506,-95.21233785
48039661602,29.35187279,-95.25161371
48039661700,29.22678087,-95.20837565
48039661800,29.36736713,-95.37415931
48039661900,29.35261998,-95.49675218
48039662000,29.22952339,-95.68511657
48039662100,29.19688501,-95.50984408
48039662200,29.25423302,-95.40065842
48039662300,29.17545442,-95.42294505
48039662400,29.19798265,-95.34683122
48039662500,29.11817294,-95.54202931
48039662600,29.11015102,-95.64410559
48039662700,29.13928937,-95.7823637
48039662800,29.01854226,-95.69764531
48039662900,29.05950934,-95.61221071
48039663000,29.00762528,-95.53829373
48039663100,29.08437527,-95.47515375
48039663200,29.05234717,-95.44888183
48039663300,29.03677801,-95.44265587
48039663400,29.0250348,-95.45289045
48039663500,29.02638581,-95.42760389
48039663600,29.05058439,-95.42485875
48039663700,29.05789136,-95.41245987
48039663800,29.02957729,-95.41058212
48039663900,29.01406754,-95.40387815
48039664000,29.06424879,-95.38276556
48039664100,29.08143539,-95.31801057
48039664200,29.04964034,-95.23562262
48039664300,28.9681168,-95.3637576
48039664400,28.91471796,-95.38250672
48039664501,28.92675967,-95.53024304
48071710100,29.85878944,-94.85543704
48071710200,29.76430556,-94.84473401
48071710300,29.83680706,-94.63301339
48071710401,29.76670988,-94.4223323
48071710500,29.65574203,-94.5827719
48071710600,29.6286549,-94.84746535
48089750100,29.61438373,-96.33972446
48089750200,29.45357025,-96.51533497
48089750300,29.62308656,-96.70305022
48089750400,29.80235238,-96.52634213
48089750500,29.66947878,-96.54650304
48157670101,29.58858164,-95.45227602
48157670102,29.58453789,-95.46389084
48157670200,29.59395492,-95.47631856
48157670300,29.59513074,-95.48786694
48157670400,29.60823837,-95.50078244
48157670500,29.61218094,-95.52014999
48157670601,29.59050917,-95.51519339
48157670602,29.58959134,-95.49885149
48157670700,29.56412756,-95.46559636
48157670800,29.52330521,-95.46689472
48157670901,29.55024851,-95.52648945
48157670902,29.54760803,-95.48352239
48157671001,29.57232803,-95.55197179
48157671002,29.57328255,-95.5325607
48157671100,29.59241435,-95.5480369
48157671200,29.60468176,-95.53580199
48157671300,29.61105554,-95.55277381
48157671400,29.61461353,-95.57420283
48157671501,29.59437435,-95.57296168
48157671502,29.57717298,-95.57085128
48157671601,29.59854194,-95.60452332
48157671602,29.59220855,-95.58754957
48157671700,29.613518,-95.5950451
48157671800,29.62984206,-95.55835934
48157671900,29.65192943,-95.58734123
48157672001,29.64500154,-95.60830677
48157672002,29.64125155,-95.58927781
48157672100,29.61361338,-95.6232361
48157672200,29.62954028,-95.63796964
48157672301,29.65647348,-95.63435463
48157672302,29.64329498,-95.63105941
48157672400,29.67145213,-95.63197329
48157672500,29.68569822,-95.65428716
48157672601,29.69672977,-95.67717522
48157672602,29.6853614,-95.6748864
48157672701,29.66537802,-95.66258729
48157672702,29.64290478,-95.66915719
48157672800,29.62223183,-95.66680717
48157672900,29.67294186,-95.71495938
48157673001,29.7437182,-95.76148418
48157673002,29.71878598,-95.72696781
48157673003,29.71565932,-95.76109586
48157673101,29.74138449,-95.8188303
48157673102,29.71877645,-95.78709855
48157673200,29.71743748,-95.92964847
48157673300,29.64754998,-95.90107574
48157673400,29.64515849,-95.78902129
48157673500,29.64159758,-95.72800237
48157673600,29.61077731,-95.72874035
48157673700,29.61961184,-95.70465733
48157673800,29.58716241,-95.71165623
48157673901,29.59196469,-95.6692837
48157673902,29.59442843,-95.64789008
48157674000,29.58641215,-95.61995424
48157674100,29.57912344,-95.59959871
48157674200,29.57150292,-95.62147334
48157674300,29.56356508,-95.57760946
48157674400,29.54496745,-95.60489048
48157674501,29.52442171,-95.52646543
48157674502,29.47721223,-95.50189158
48157674601,29.55649438,-95.68049248
48157674602,29.53067229,-95.62775478
48157674603,29.54351035,-95.69125578
48157674604,29.54856755,-95.71571185
48157674700,29.56847359,-95.72183412
48157674800,29.56655952,-95.77178312
48157674900,29.59453441,-95.77213828
48157675000,29.56629254,-95.79353885
48157675100,29.54949888,-95.77193146
48157675200,29.54316485,-95.79568515
48157675300,29.54556789,-95.82417931
48157675400,29.52238789,-95.8743071
48157675500,29.46896435,-95.66868448
48157675600,29.37796419,-95.71022763
48157675700,29.36401992,-95.86046138
48157675800,29.52922509,-95.97253892
48167720100,29.54302291,-95.20982502
48167720200,29.51421466,-95.1823212
48167720301,29.52079581,-95.20028449
48167720302,29.49862019,-95.21589995
48167720400,29.48368795,-95.19566614
48167720501,29.49959231,-95.14052108
48167720502,29.48402749,-95.11705049
48167720503,29.47984572,-95.15047602
48167720600,29.45045252,-95.14949867
48167720700,29.49228874,-95.09258855
48167720800,29.46821362,-95.07322807
48167720900,29.45532811,-95.05966528
48167721000,29.46181124,-95.00502668
48167721100,29.48038583,-95.02409516
48167721201,29.51489193,-95.05008018
48167721202,29.50272445,-95.02749369
48167721300,29.52040069,-95.08453763
48167721400,29.53373439,-95.04890465
48167721500,29.54749893,-95.0525999
48167721600,29.52728898,-95.00700781
48167721700,29.49673566,-94.97781228
48167721800,29.48557241,-94.94496124
48167721900,29.4288646,-94.99065952
48167722001,29.41994995,-94.91219656
48167722002,29.40131973,-94.93101153
48167722100,29.40242547,-94.90888608
48167722200,29.39009704,-94.90147139
48167722300,29.39011878,-94.92406007
48167722600,29.3882178,-94.96500871
48167722700,29.38696052,-94.98957699
48167722800,29.36576678,-94.96463702
48167722900,29.36326241,-94.98003807
48167723000,29.37380555,-94.98671014
48167723100,29.39182135,-95.01336708
48167723200,29.37204683,-95.02485515
48167723300,29.40146943,-95.0688318
48167723400,29.41057766,-95.13974021
48167723501,29.35538598,-95.07056021
48167723502,29.35383753,-95.12596826
48167723600,29.28960522,-95.03422095
48167723700,29.34359572,-94.98444232
48167723800,29.33164787,-94.94342415
48167723900,29.46984918,-94.71565437
48167724000,29.32312789,-94.8260034
48167724101,29.32588518,-94.75623615
48167724200,29.31972375,-94.77226347
48167724300,29.3077121,-94.78036194
48167724400,29.299008,-94.7843944
48167724500,29.30375088,-94.79451961
48167724600,29.29765348,-94.80807298
48167724700,29.29460409,-94.7998088
48167724800,29.29205939,-94.79279213
48167724900,29.28692005,-94.80139617
48167725000,29.28311851,-94.808191
48167725100,29.29077167,-94.8095776
48167725200,29.29048988,-94.82163828
48167725300,29.2861739,-94.82691816
48167725400,29.28192182,-94.8208615
48167725500,29.27541251,-94.81908563
48167725600,29.26752564,-94.8322468
48167725700,29.26501547,-94.84310284
48167725800,29.28280442,-94.85865458
48167725900,29.26408209,-94.8628342
48167726000,29.26295782,-94.92364656
48167726100,29.18332217,-95.02126356
48167726200,29.35881763,-94.91420252
48201100000,29.7573897,-95.36317158
48201210100,29.76706074,-95.35171532
48201210400,29.78644968,-95.36220748
48201210500,29.79525765,-95.36038282
48201210600,29.80704061,-95.36535982
48201210700,29.80672546,-95.35352668
48201210800,29.79436995,-95.34510604
48201210900,29.80415404,-95.33126731
48201211000,29.79708736,-95.33217041
48201211100,29.78711474,-95.33203505
48201211200,29.79817996,-95.32037153
48201211300,29.77744855,-95.32734701
48201211400,29.76588059,-95.32816441
48201211500,29.76650141,-95.29694751
48201211600,29.78097823,-95.31154531
48201211700,29.80022856,-95.30463181
48201211900,29.78381695,-95.29950976
