h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
3,Chambers,29.7163792,-94.6962763,7,16,11,14,11,6,12,12,10,10,11,0,7,0,0,3,1,Austin,29.8866295,-96.2769282
3,Chambers,29.7163792,-94.6962763,266,256,263,401,627,577,539,184,185,149,123,101,96,86,92,94,2,Brazoria,29.1610141,-95.4534698
3,Chambers,29.7163792,-94.6962763,4,5,9,7,7,12,4,3,8,5,5,2,0,0,0,0,4,Colorado,29.6309593,-96.5443489
3,Chambers,29.7163792,-94.6962763,341,334,324,411,395,410,365,228,156,198,130,86,110,97,69,75,5,Fort Bend,29.520214,-95.787262
3,Chambers,29.7163792,-94.6962763,433,434,382,624,924,918,886,409,332,247,228,183,150,137,123,115,6,Galveston,29.3294758,-94.8954605
3,Chambers,29.7163792,-94.6962763,10984,10960,11094,11941,12514,11983,11143,9772,8035,7178,6100,5688,5388,5345,5395,5681,7,Harris,29.829487,-95.4614249
3,Chambers,29.7163792,-94.6962763,310,266,265,395,501,542,462,247,268,154,166,190,171,173,180,179,8,Liberty,30.1509076,-94.8587991
3,Chambers,29.7163792,-94.6962763,5,5,4,7,6,8,10,12,6,2,11,9,3,5,6,8,9,Matagorda,28.8152727,-96.0284508
3,Chambers,29.7163792,-94.6962763,438,439,415,453,476,428,425,339,240,220,252,147,168,152,154,91,10,Montgomery,30.3209926,-95.5279082
3,Chambers,29.7163792,-94.6962763,87,91,91,85,99,109,106,85,79,61,78,71,98,79,66,76,11,Walker,30.7154629,-95.5878106
3,Chambers,29.7163792,-94.6962763,27,19,17,22,20,30,26,18,15,10,16,13,4,10,4,3,12,Waller,29.9363935,-96.0026834
3,Chambers,29.7163792,-94.6962763,23,12,21,8,11,21,15,13,14,14,3,8,6,12,10,3,13,Wharton,29.2649159,-96.2705795
