d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
3,Chambers,29.7163792,-94.6962763,6,4,3,9,5,6,7,4,1,1,4,2,1,1,1,2,1,Austin,29.8866295,-96.2769282
3,Chambers,29.7163792,-94.6962763,302,220,200,197,189,162,237,180,159,209,177,142,163,98,63,52,2,Brazoria,29.1610141,-95.4534698
3,Chambers,29.7163792,-94.6962763,4,8,7,5,13,14,7,4,3,3,7,0,2,5,0,1,4,Colorado,29.6309593,-96.5443489
3,Chambers,29.7163792,-94.6962763,262,261,160,191,153,150,179,124,96,130,142,91,104,90,58,35,5,Fort Bend,29.520214,-95.787262
3,Chambers,29.7163792,-94.6962763,538,577,491,463,460,423,460,380,336,406,345,227,215,193,119,82,6,Galveston,29.3294758,-94.8954605
3,Chambers,29.7163792,-94.6962763,5478,5518,4290,4273,4093,3968,3926,3377,3244,3836,3963,3877,3105,2679,2009,1468,7,Harris,29.829487,-95.4614249
3,Chambers,29.7163792,-94.6962763,824,884,740,884,954,970,808,600,481,527,512,515,485,418,419,359,8,Liberty,30.1509076,-94.8587991
3,Chambers,29.7163792,-94.6962763,15,16,8,12,9,10,14,8,4,11,7,2,4,12,2,3,9,Matagorda,28.8152727,-96.0284508
3,Chambers,29.7163792,-94.6962763,308,309,201,211,184,204,182,152,156,157,138,131,97,95,94,64,10,Montgomery,30.3209926,-95.5279082
3,Chambers,29.7163792,-94.6962763,35,24,19,11,11,10,27,22,9,16,11,9,4,7,3,7,11,Walker,30.7154629,-95.5878106
3,Chambers,29.7163792,-94.6962763,21,13,15,10,16,6,18,8,13,12,16,5,8,3,4,8,12,Waller,29.9363935,-96.0026834
3,Chambers,29.7163792,-94.6962763,20,25,8,14,8,10,13,12,10,12,8,2,8,3,3,0,13,Wharton,29.2649159,-96.2705795
