h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
4,Colorado,29.6309593,-96.5443489,328,364,342,308,412,440,504,725,701,598,532,596,456,393,351,244,1,Austin,29.8866295,-96.2769282
4,Colorado,29.6309593,-96.5443489,155,137,156,248,305,276,262,134,114,88,125,95,108,89,91,75,2,Brazoria,29.1610141,-95.4534698
4,Colorado,29.6309593,-96.5443489,4,8,7,5,13,14,7,4,3,3,7,0,2,5,0,1,3,Chambers,29.7163792,-94.6962763
4,Colorado,29.6309593,-96.5443489,432,393,398,469,493,510,508,279,282,239,250,203,181,177,172,170,5,Fort Bend,29.520214,-95.787262
4,Colorado,29.6309593,-96.5443489,82,101,77,86,108,121,133,70,66,61,65,25,26,30,29,44,6,Galveston,29.3294758,-94.8954605
4,Colorado,29.6309593,-96.5443489,2377,2326,2387,2824,3036,2870,2800,2371,2082,1615,1599,1456,1238,1356,1210,1388,7,Harris,29.829487,-95.4614249
4,Colorado,29.6309593,-96.5443489,13,11,17,13,19,21,26,4,10,10,10,5,3,5,3,8,8,Liberty,30.1509076,-94.8587991
4,Colorado,29.6309593,-96.5443489,49,51,57,128,185,212,205,70,57,72,26,33,39,18,27,21,9,Matagorda,28.8152727,-96.0284508
4,Colorado,29.6309593,-96.5443489,141,137,144,124,139,173,151,115,129,88,71,29,50,30,25,23,10,Montgomery,30.3209926,-95.5279082
4,Colorado,29.6309593,-96.5443489,8,13,10,17,41,47,34,6,18,10,19,0,2,3,2,1,11,Walker,30.7154629,-95.5878106
4,Colorado,29.6309593,-96.5443489,99,87,79,141,197,157,169,81,84,83,53,44,39,43,32,24,12,Waller,29.9363935,-96.0026834
4,Colorado,29.6309593,-96.5443489,255,259,243,352,401,439,486,266,321,244,253,322,273,290,258,251,13,Wharton,29.2649159,-96.2705795
