d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
4,Colorado,29.6309593,-96.5443489,285,320,268,274,288,285,247,194,213,200,245,274,267,195,196,127,1,Austin,29.8866295,-96.2769282
4,Colorado,29.6309593,-96.5443489,37,49,38,51,49,44,67,27,30,44,35,39,38,13,18,22,2,Brazoria,29.1610141,-95.4534698
4,Colorado,29.6309593,-96.5443489,4,5,9,7,7,12,4,3,8,5,5,2,0,0,0,0,3,Chambers,29.7163792,-94.6962763
4,Colorado,29.6309593,-96.5443489,261,270,272,264,263,234,183,149,142,193,152,91,105,99,112,101,5,Fort Bend,29.520214,-95.787262
4,Colorado,29.6309593,-96.5443489,34,21,26,31,24,24,23,17,21,35,39,30,17,12,13,26,6,Galveston,29.3294758,-94.8954605
4,Colorado,29.6309593,-96.5443489,625,687,652,557,534,533,450,427,457,637,527,531,419,378,376,396,7,Harris,29.829487,-95.4614249
4,Colorado,29.6309593,-96.5443489,19,12,17,22,21,18,13,9,11,8,7,0,2,1,1,2,8,Liberty,30.1509076,-94.8587991
4,Colorado,29.6309593,-96.5443489,46,39,57,145,169,178,177,47,35,37,56,59,53,47,67,66,9,Matagorda,28.8152727,-96.0284508
4,Colorado,29.6309593,-96.5443489,127,127,144,163,154,143,119,99,74,111,61,40,25,31,77,35,10,Montgomery,30.3209926,-95.5279082
4,Colorado,29.6309593,-96.5443489,7,8,8,5,16,21,19,5,6,6,4,4,4,2,6,5,11,Walker,30.7154629,-95.5878106
4,Colorado,29.6309593,-96.5443489,40,39,33,45,34,46,41,32,32,22,14,12,10,5,8,6,12,Waller,29.9363935,-96.0026834
4,Colorado,29.6309593,-96.5443489,238,242,259,304,285,296,306,253,203,233,241,192,217,226,234,231,13,Wharton,29.2649159,-96.2705795
