h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
48015760100,48015760100,29.66414684,-96.10298016,40,,,,,,2,48015760300,29.79320213,-96.24914502
48015760100,48015760100,29.66414684,-96.10298016,38,,,,,,3,48157673101,29.74138074,-95.81883124
48015760100,48015760100,29.66414684,-96.10298016,37,,,,,,4,48481740100,29.47188095,-96.18059091
48015760100,48015760100,29.66414684,-96.10298016,31,,,,,,5,48157675000,29.56629252,-95.79353933
48015760100,48015760100,29.66414684,-96.10298016,21,,,,,,6,48015760200,29.78282149,-96.1076332
48015760100,48015760100,29.66414684,-96.10298016,20,,,,,,7,48201100000,29.75738955,-95.36317172
48015760100,48015760100,29.66414684,-96.10298016,19,,,,,,8,48473680100,29.81271319,-95.87152661
48015760100,48015760100,29.66414684,-96.10298016,18,,,,,,9,48157675200,29.54316469,-95.79568464
48015760100,48015760100,29.66414684,-96.10298016,16,,,,,,10,48157675800,29.52918464,-95.97254131
48015760200,48015760200,29.78282149,-96.1076332,254,,,,,,12,48015760300,29.79320213,-96.24914502
48015760200,48015760200,29.78282149,-96.1076332,92,,,,,,13,48473680200,29.8451702,-95.98917872
48015760200,48015760200,29.78282149,-96.1076332,65,,,,,,14,48157673101,29.74138074,-95.81883124
48015760200,48015760200,29.78282149,-96.1076332,59,,,,,,15,48201100000,29.75738955,-95.36317172
48015760200,48015760200,29.78282149,-96.1076332,57,,,,,,16,48473680100,29.81271319,-95.87152661
48015760200,48015760200,29.78282149,-96.1076332,45,,,,,,17,48015760502,29.9419465,-96.17884266
48015760200,48015760200,29.78282149,-96.1076332,41,,,,,,18,48201541700,29.80834657,-95.66586051
48015760200,48015760200,29.78282149,-96.1076332,31,,,,,,19,48201454600,29.78026523,-95.73570734
48015760200,48015760200,29.78282149,-96.1076332,28,,,,,,20,48201313100,29.71082216,-95.38986395
48015760300,48015760300,29.79320213,-96.24914502,258,,,,,,22,48015760200,29.78282149,-96.1076332
48015760300,48015760300,29.79320213,-96.24914502,206,,,,,,23,48473680100,29.81271319,-95.87152661
48015760300,48015760300,29.79320213,-96.24914502,118,,,,,,24,48015760502,29.9419465,-96.17884266
48015760300,48015760300,29.79320213,-96.24914502,93,,,,,,25,48473680200,29.8451702,-95.98917872
48015760300,48015760300,29.79320213,-96.24914502,78,,,,,,26,48201100000,29.75738955,-95.36317172
48015760300,48015760300,29.79320213,-96.24914502,61,,,,,,27,48157673101,29.74138074,-95.81883124
48015760300,48015760300,29.79320213,-96.24914502,59,,,,,,28,48015760501,30.02949638,-96.28302337
48015760300,48015760300,29.79320213,-96.24914502,49,,,,,,29,48089750500,29.66948416,-96.54648274
48015760300,48015760300,29.79320213,-96.24914502,37,,,,,,30,48201541700,29.80834657,-95.66586051
48015760400,48015760400,29.96095862,-96.45448821,129,,,,,,32,48015760502,29.9419465,-96.17884266
48015760400,48015760400,29.96095862,-96.45448821,40,,,,,,33,48201100000,29.75738955,-95.36317172
48015760400,48015760400,29.96095862,-96.45448821,33,,,,,,34,48015760501,30.02949638,-96.28302337
48015760400,48015760400,29.96095862,-96.45448821,25,,,,,,35,48089750500,29.66948416,-96.54648274
48015760400,48015760400,29.96095862,-96.45448821,23,,,,,,36,48089750400,29.80236013,-96.526319
48015760400,48015760400,29.96095862,-96.45448821,22,,,,,,37,48015760300,29.79320213,-96.24914502
48015760400,48015760400,29.96095862,-96.45448821,18,,,,,,38,48015760200,29.78282149,-96.1076332
48015760400,48015760400,29.96095862,-96.45448821,15,,,,,,39,48157674000,29.58641203,-95.61995435
48015760400,48015760400,29.96095862,-96.45448821,13,,,,,,40,48201556000,30.07381733,-95.85848121
48015760501,48015760501,30.02949638,-96.28302337,338,,,,,,41,48015760502,29.9419465,-96.17884266
48015760501,48015760501,30.02949638,-96.28302337,48,,,,,,43,48201100000,29.75738955,-95.36317172
48015760501,48015760501,30.02949638,-96.28302337,34,,,,,,44,48015760300,29.79320213,-96.24914502
48015760501,48015760501,30.02949638,-96.28302337,31,,,,,,45,48157673101,29.74138074,-95.81883124
48015760501,48015760501,30.02949638,-96.28302337,26,,,,,,46,48015760200,29.78282149,-96.1076332
48015760501,48015760501,30.02949638,-96.28302337,25,,,,,,47,48473680300,30.04739434,-95.9766902
48015760501,48015760501,30.02949638,-96.28302337,19,,,,,,48,48473680200,29.8451702,-95.98917872
48015760501,48015760501,30.02949638,-96.28302337,17,,,,,,49,48201540100,29.85653475,-95.58495223
48015760501,48015760501,30.02949638,-96.28302337,12,,,,,,50,48015760400,29.96095862,-96.45448821
48015760502,48015760502,29.9419465,-96.17884266,154,,,,,,52,48015760501,30.02949638,-96.28302337
48015760502,48015760502,29.9419465,-96.17884266,56,,,,,,53,48015760300,29.79320213,-96.24914502
48015760502,48015760502,29.9419465,-96.17884266,51,,,,,,54,48473680500,30.09335969,-96.07215238
48015760502,48015760502,29.9419465,-96.17884266,47,,,,,,55,48015760200,29.78282149,-96.1076332
48015760502,48015760502,29.9419465,-96.17884266,36,,,,,,56,48201100000,29.75738955,-95.36317172
48015760502,48015760502,29.9419465,-96.17884266,30,,,,,,57,48473680300,30.04739434,-95.9766902
48015760502,48015760502,29.9419465,-96.17884266,26,,,,,,58,48015760400,29.96095862,-96.45448821
48015760502,48015760502,29.9419465,-96.17884266,23,,,,,,59,48201541700,29.80834657,-95.66586051
48015760502,48015760502,29.9419465,-96.17884266,22,,,,,,60,48201432801,29.71781518,-95.5082609
48039660100,48039660100,29.55237873,-95.23175241,148,,,,,,61,48039660500,29.5778347,-95.3180474
48039660100,48039660100,29.55237873,-95.23175241,141,,,,,,62,48201100000,29.75738955,-95.36317172
48039660100,48039660100,29.55237873,-95.23175241,86,,,,,,63,48201313100,29.71082216,-95.38986395
48039660100,48039660100,29.55237873,-95.23175241,56,,,,,,64,48039660300,29.54406129,-95.26109153
48039660100,48039660100,29.55237873,-95.23175241,42,,,,,,65,48201323801,29.67438141,-95.18919358
48039660100,48039660100,29.55237873,-95.23175241,35,,,,,,67,48201411501,29.7354916,-95.44222572
48039660100,48039660100,29.55237873,-95.23175241,28,,,,,,68,48201333300,29.63808005,-95.25343074
48039660100,48039660100,29.55237873,-95.23175241,27,,,,,,69,48167721300,29.52039986,-95.08453765
48039660100,48039660100,29.55237873,-95.23175241,26,,,,,,70,48201341100,29.54230821,-95.12443385
48039660200,48039660200,29.5123357,-95.23714218,166,,,,,,71,48039660500,29.5778347,-95.3180474
48039660200,48039660200,29.5123357,-95.23714218,154,,,,,,72,48201100000,29.75738955,-95.36317172
