h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
5,Fort Bend,29.520214,-95.787262,585,564,596,590,577,604,729,808,828,836,764,366,346,365,209,314,1,Austin,29.8866295,-96.2769282
5,Fort Bend,29.520214,-95.787262,6518,6033,6171,5552,5289,5113,4357,3623,3424,3563,3385,2160,2286,2279,1990,1959,2,Brazoria,29.1610141,-95.4534698
5,Fort Bend,29.520214,-95.787262,262,261,160,191,153,150,179,124,96,130,142,91,104,90,58,35,3,Chambers,29.7163792,-94.6962763
5,Fort Bend,29.520214,-95.787262,261,270,272,264,263,234,183,149,142,193,152,91,105,99,112,101,4,Colorado,29.6309593,-96.5443489
5,Fort Bend,29.520214,-95.787262,2244,2050,2054,2007,1944,1849,2019,1888,1642,1539,1553,1145,1175,1148,1106,1180,6,Galveston,29.3294758,-94.8954605
5,Fort Bend,29.520214,-95.787262,198620,198749,202479,194097,186070,179773,171464,164950,152653,162818,158910,122253,129726,129470,126349,129615,7,Harris,29.829487,-95.4614249
5,Fort Bend,29.520214,-95.787262,249,261,218,219,222,221,232,194,186,264,259,169,203,203,178,177,8,Liberty,30.1509076,-94.8587991
5,Fort Bend,29.520214,-95.787262,473,443,513,482,500,433,506,588,524,557,539,305,310,218,229,204,9,Matagorda,28.8152727,-96.0284508
5,Fort Bend,29.520214,-95.787262,3966,3849,3769,3408,3188,3058,2908,2550,2353,2631,2450,1727,1867,1738,1798,1510,10,Montgomery,30.3209926,-95.5279082
5,Fort Bend,29.520214,-95.787262,595,631,585,492,706,667,541,507,501,571,592,434,470,501,482,508,11,Walker,30.7154629,-95.5878106
5,Fort Bend,29.520214,-95.787262,1412,1415,1191,1228,1227,1108,1014,840,905,1024,1186,746,808,797,757,622,12,Waller,29.9363935,-96.0026834
5,Fort Bend,29.520214,-95.787262,1404,1367,1477,1502,1462,1288,1276,1088,1185,1428,1518,1045,1198,1120,1226,1078,13,Wharton,29.2649159,-96.2705795
