d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
5,Fort Bend,29.520214,-95.787262,1069,984,969,1092,913,852,832,763,769,646,654,682,541,562,532,439,1,Austin,29.8866295,-96.2769282
5,Fort Bend,29.520214,-95.787262,6568,6491,6331,6061,6017,5606,5490,4888,4748,4554,4240,4195,3538,3095,3033,2776,2,Brazoria,29.1610141,-95.4534698
5,Fort Bend,29.520214,-95.787262,341,334,324,411,395,410,365,228,156,198,130,86,110,97,69,75,3,Chambers,29.7163792,-94.6962763
5,Fort Bend,29.520214,-95.787262,432,393,398,469,493,510,508,279,282,239,250,203,181,177,172,170,4,Colorado,29.6309593,-96.5443489
5,Fort Bend,29.520214,-95.787262,2495,2549,2476,2258,2156,2007,1768,1858,1809,1779,1620,1640,1491,1574,1376,1360,6,Galveston,29.3294758,-94.8954605
5,Fort Bend,29.520214,-95.787262,76087,76253,74334,69962,60810,57307,52320,47398,47678,49099,44346,46252,41254,40939,39115,39036,7,Harris,29.829487,-95.4614249
5,Fort Bend,29.520214,-95.787262,682,723,655,739,771,778,718,554,547,567,468,263,304,235,278,285,8,Liberty,30.1509076,-94.8587991
5,Fort Bend,29.520214,-95.787262,564,494,471,806,1010,1023,910,367,336,340,347,283,325,291,259,274,9,Matagorda,28.8152727,-96.0284508
5,Fort Bend,29.520214,-95.787262,4979,4677,4526,4308,4021,3722,3446,3180,2863,2686,2399,2063,1829,1823,1675,1643,10,Montgomery,30.3209926,-95.5279082
5,Fort Bend,29.520214,-95.787262,127,149,141,139,298,303,263,115,97,93,68,66,39,35,44,36,11,Walker,30.7154629,-95.5878106
5,Fort Bend,29.520214,-95.787262,1487,1361,1179,1231,949,918,736,758,676,532,489,476,370,360,305,318,12,Waller,29.9363935,-96.0026834
5,Fort Bend,29.520214,-95.787262,1893,1906,1848,1912,1842,1895,1636,1653,1500,1517,1418,1240,1385,1255,1266,1318,13,Wharton,29.2649159,-96.2705795
