h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
6,Galveston,29.3294758,-94.8954605,90,73,76,66,61,44,60,57,67,69,61,43,33,29,28,28,1,Austin,29.8866295,-96.2769282
6,Galveston,29.3294758,-94.8954605,7190,7074,6985,6387,6339,6120,5409,4977,4901,5469,5397,4740,4350,4593,4554,4139,2,Brazoria,29.1610141,-95.4534698
6,Galveston,29.3294758,-94.8954605,538,577,491,463,460,423,460,380,336,406,345,227,215,193,119,82,3,Chambers,29.7163792,-94.6962763
6,Galveston,29.3294758,-94.8954605,34,21,26,31,24,24,23,17,21,35,39,30,17,12,13,26,4,Colorado,29.6309593,-96.5443489
6,Galveston,29.3294758,-94.8954605,2495,2549,2476,2258,2156,2007,1768,1858,1809,1779,1620,1640,1491,1574,1376,1360,5,Fort Bend,29.520214,-95.787262
6,Galveston,29.3294758,-94.8954605,62859,63293,63853,61378,58764,57650,57211,57266,56451,56250,54872,49898,49630,49049,48765,45588,7,Harris,29.829487,-95.4614249
6,Galveston,29.3294758,-94.8954605,205,225,230,208,199,217,189,159,199,202,251,226,273,303,283,254,8,Liberty,30.1509076,-94.8587991
6,Galveston,29.3294758,-94.8954605,115,127,124,102,70,82,117,130,107,90,80,46,54,68,98,54,9,Matagorda,28.8152727,-96.0284508
6,Galveston,29.3294758,-94.8954605,1828,1664,1604,1624,1457,1356,1397,1383,1301,1338,1193,1035,878,870,890,724,10,Montgomery,30.3209926,-95.5279082
6,Galveston,29.3294758,-94.8954605,394,378,347,300,254,228,298,329,360,427,439,513,498,433,427,425,11,Walker,30.7154629,-95.5878106
6,Galveston,29.3294758,-94.8954605,148,129,115,84,131,110,82,80,121,122,155,111,160,117,117,101,12,Waller,29.9363935,-96.0026834
6,Galveston,29.3294758,-94.8954605,130,134,141,100,98,98,147,98,143,119,120,108,96,100,112,92,13,Wharton,29.2649159,-96.2705795
