d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
6,Galveston,29.3294758,-94.8954605,19,33,20,23,0,0,0,37,17,18,26,8,14,20,17,29,1,Austin,29.8866295,-96.2769282
6,Galveston,29.3294758,-94.8954605,7129,7042,6487,6298,6342,5994,6306,6054,5792,5735,5923,5666,5027,4606,4626,4422,2,Brazoria,29.1610141,-95.4534698
6,Galveston,29.3294758,-94.8954605,433,434,382,624,924,918,886,409,332,247,228,183,150,137,123,115,3,Chambers,29.7163792,-94.6962763
6,Galveston,29.3294758,-94.8954605,82,101,77,86,108,121,133,70,66,61,65,25,26,30,29,44,4,Colorado,29.6309593,-96.5443489
6,Galveston,29.3294758,-94.8954605,2244,2050,2054,2007,1944,1849,2019,1888,1642,1539,1553,1145,1175,1148,1106,1180,5,Fort Bend,29.520214,-95.787262
6,Galveston,29.3294758,-94.8954605,26591,25653,24598,24397,23455,22797,23381,21895,21080,21422,21099,20807,19455,18718,18793,18769,7,Harris,29.829487,-95.4614249
6,Galveston,29.3294758,-94.8954605,625,611,517,919,1228,1299,1130,638,442,433,362,221,218,256,277,268,8,Liberty,30.1509076,-94.8587991
6,Galveston,29.3294758,-94.8954605,230,238,201,230,258,236,213,190,173,136,145,76,88,80,136,143,9,Matagorda,28.8152727,-96.0284508
6,Galveston,29.3294758,-94.8954605,1793,1614,1581,1684,1770,1731,1657,1411,1353,1171,1076,1056,929,974,837,933,10,Montgomery,30.3209926,-95.5279082
6,Galveston,29.3294758,-94.8954605,142,131,101,100,263,237,283,121,92,85,77,76,64,91,115,135,11,Walker,30.7154629,-95.5878106
6,Galveston,29.3294758,-94.8954605,143,121,122,141,92,103,110,112,108,119,98,80,80,87,71,80,12,Waller,29.9363935,-96.0026834
6,Galveston,29.3294758,-94.8954605,292,268,246,264,238,195,219,205,218,205,179,132,113,131,120,120,13,Wharton,29.2649159,-96.2705795
