h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
7,Harris,29.829487,-95.4614249,1264,1338,1364,1300,1312,1453,1524,1704,1864,1949,1710,1550,1202,967,972,1117,1,Austin,29.8866295,-96.2769282
7,Harris,29.829487,-95.4614249,26461,24760,25062,23430,21822,21137,20046,17749,17514,18679,18782,16487,15327,15283,14218,13651,2,Brazoria,29.1610141,-95.4534698
7,Harris,29.829487,-95.4614249,5478,5518,4290,4273,4093,3968,3926,3377,3244,3836,3963,3877,3105,2679,2009,1468,3,Chambers,29.7163792,-94.6962763
7,Harris,29.829487,-95.4614249,625,687,652,557,534,533,450,427,457,637,527,531,419,378,376,396,4,Colorado,29.6309593,-96.5443489
7,Harris,29.829487,-95.4614249,76087,76253,74334,69962,60810,57307,52320,47398,47678,49099,44346,46252,41254,40939,39115,39036,5,Fort Bend,29.520214,-95.787262
7,Harris,29.829487,-95.4614249,26591,25653,24598,24397,23455,22797,23381,21895,21080,21422,21099,20807,19455,18718,18793,18769,6,Galveston,29.3294758,-94.8954605
7,Harris,29.829487,-95.4614249,3485,3351,3265,3185,3015,2987,2802,2361,2678,3601,3611,3478,3020,3150,2993,2683,8,Liberty,30.1509076,-94.8587991
7,Harris,29.829487,-95.4614249,637,588,899,635,445,388,626,1025,1033,1042,964,738,560,485,483,529,9,Matagorda,28.8152727,-96.0284508
7,Harris,29.829487,-95.4614249,58645,57433,56486,52321,49454,47011,44282,39194,37876,39887,37732,33717,30621,29074,28491,24181,10,Montgomery,30.3209926,-95.5279082
7,Harris,29.829487,-95.4614249,3144,3130,2899,2527,2461,2496,2351,2479,2382,2457,2560,2520,2352,2404,2418,2321,11,Walker,30.7154629,-95.5878106
7,Harris,29.829487,-95.4614249,6908,6428,5815,5601,5408,5291,4502,4162,4682,5475,5794,5481,5379,5043,4681,3692,12,Waller,29.9363935,-96.0026834
7,Harris,29.829487,-95.4614249,1200,1140,1224,1044,1004,987,1128,903,1297,1341,1297,1326,1190,1184,1094,1048,13,Wharton,29.2649159,-96.2705795
