d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
7,Harris,29.829487,-95.4614249,4771,4670,4785,4984,4930,4804,4861,4629,4730,4590,4248,3447,3231,3077,3105,3100,1,Austin,29.8866295,-96.2769282
7,Harris,29.829487,-95.4614249,74608,73903,74139,72526,69441,67844,69685,66286,65959,65484,62996,61705,58563,51886,50478,49855,2,Brazoria,29.1610141,-95.4534698
7,Harris,29.829487,-95.4614249,10984,10960,11094,11941,12514,11983,11143,9772,8035,7178,6100,5688,5388,5345,5395,5681,3,Chambers,29.7163792,-94.6962763
7,Harris,29.829487,-95.4614249,2377,2326,2387,2824,3036,2870,2800,2371,2082,1615,1599,1456,1238,1356,1210,1388,4,Colorado,29.6309593,-96.5443489
7,Harris,29.829487,-95.4614249,198620,198749,202479,194097,186070,179773,171464,164950,152653,162818,158910,122253,129726,129470,126349,129615,5,Fort Bend,29.520214,-95.787262
7,Harris,29.829487,-95.4614249,62859,63293,63853,61378,58764,57650,57211,57266,56451,56250,54872,49898,49630,49049,48765,45588,6,Galveston,29.3294758,-94.8954605
7,Harris,29.829487,-95.4614249,15040,14949,14975,16767,17792,17115,16457,14194,13269,11371,11136,8710,8398,7978,8611,9591,8,Liberty,30.1509076,-94.8587991
7,Harris,29.829487,-95.4614249,4453,4604,4757,5663,5935,5945,5922,3919,3845,3412,3566,2930,3056,2942,3076,3072,9,Matagorda,28.8152727,-96.0284508
7,Harris,29.829487,-95.4614249,112283,109976,110827,108570,103988,100817,98488,95053,93193,84912,83506,82536,79547,76148,71153,71849,10,Montgomery,30.3209926,-95.5279082
7,Harris,29.829487,-95.4614249,3615,3541,3401,3611,4728,4442,4433,3097,2646,2766,2625,2129,1960,1868,2088,2035,11,Walker,30.7154629,-95.5878106
7,Harris,29.829487,-95.4614249,9687,9180,9057,8923,8600,8446,7887,8623,7799,5639,5934,5267,5236,4946,4950,5219,12,Waller,29.9363935,-96.0026834
7,Harris,29.829487,-95.4614249,5153,5169,5013,5738,5846,5759,5794,4984,5221,4541,4513,3312,3722,3616,3567,3679,13,Wharton,29.2649159,-96.2705795
