h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
8,Liberty,30.1509076,-94.8587991,14,30,25,20,26,24,29,19,24,30,24,27,20,17,16,19,1,Austin,29.8866295,-96.2769282
8,Liberty,30.1509076,-94.8587991,487,503,568,768,1025,1003,955,448,386,415,329,274,290,276,273,257,2,Brazoria,29.1610141,-95.4534698
8,Liberty,30.1509076,-94.8587991,824,884,740,884,954,970,808,600,481,527,512,515,485,418,419,359,3,Chambers,29.7163792,-94.6962763
8,Liberty,30.1509076,-94.8587991,19,12,17,22,21,18,13,9,11,8,7,0,2,1,1,2,4,Colorado,29.6309593,-96.5443489
8,Liberty,30.1509076,-94.8587991,682,723,655,739,771,778,718,554,547,567,468,263,304,235,278,285,5,Fort Bend,29.520214,-95.787262
8,Liberty,30.1509076,-94.8587991,625,611,517,919,1228,1299,1130,638,442,433,362,221,218,256,277,268,6,Galveston,29.3294758,-94.8954605
8,Liberty,30.1509076,-94.8587991,15040,14949,14975,16767,17792,17115,16457,14194,13269,11371,11136,8710,8398,7978,8611,9591,7,Harris,29.829487,-95.4614249
8,Liberty,30.1509076,-94.8587991,24,9,17,8,7,10,24,21,19,10,17,20,14,20,12,12,9,Matagorda,28.8152727,-96.0284508
8,Liberty,30.1509076,-94.8587991,2324,2163,2227,2551,2728,2510,2131,1754,1561,1125,1422,1021,1007,937,1080,1140,10,Montgomery,30.3209926,-95.5279082
8,Liberty,30.1509076,-94.8587991,263,249,221,287,319,341,380,240,209,227,247,244,217,198,200,267,11,Walker,30.7154629,-95.5878106
8,Liberty,30.1509076,-94.8587991,61,51,52,51,49,51,60,39,42,45,53,50,28,16,39,23,12,Waller,29.9363935,-96.0026834
8,Liberty,30.1509076,-94.8587991,38,19,40,21,28,25,41,17,28,35,28,28,30,39,26,25,13,Wharton,29.2649159,-96.2705795
