d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
8,Liberty,30.1509076,-94.8587991,43,39,38,42,54,41,42,23,39,31,28,28,28,27,30,27,1,Austin,29.8866295,-96.2769282
8,Liberty,30.1509076,-94.8587991,206,172,207,228,201,189,205,132,158,185,203,173,155,157,154,151,2,Brazoria,29.1610141,-95.4534698
8,Liberty,30.1509076,-94.8587991,310,266,265,395,501,542,462,247,268,154,166,190,171,173,180,179,3,Chambers,29.7163792,-94.6962763
8,Liberty,30.1509076,-94.8587991,13,11,17,13,19,21,26,4,10,10,10,5,3,5,3,8,4,Colorado,29.6309593,-96.5443489
8,Liberty,30.1509076,-94.8587991,249,261,218,219,222,221,232,194,186,264,259,169,203,203,178,177,5,Fort Bend,29.520214,-95.787262
8,Liberty,30.1509076,-94.8587991,205,225,230,208,199,217,189,159,199,202,251,226,273,303,283,254,6,Galveston,29.3294758,-94.8954605
8,Liberty,30.1509076,-94.8587991,3485,3351,3265,3185,3015,2987,2802,2361,2678,3601,3611,3478,3020,3150,2993,2683,7,Harris,29.829487,-95.4614249
8,Liberty,30.1509076,-94.8587991,20,25,19,24,12,22,11,29,19,18,22,18,7,14,12,11,9,Matagorda,28.8152727,-96.0284508
8,Liberty,30.1509076,-94.8587991,1278,1240,1181,1141,1163,1100,1169,1021,1128,1031,1109,1120,1020,1075,963,806,10,Montgomery,30.3209926,-95.5279082
8,Liberty,30.1509076,-94.8587991,113,109,105,127,111,137,111,103,125,123,126,98,84,99,82,116,11,Walker,30.7154629,-95.5878106
8,Liberty,30.1509076,-94.8587991,50,40,46,46,39,31,49,35,44,35,43,34,38,33,30,41,12,Waller,29.9363935,-96.0026834
8,Liberty,30.1509076,-94.8587991,22,16,26,30,8,32,20,19,17,16,23,17,7,18,16,8,13,Wharton,29.2649159,-96.2705795
