h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
9,Matagorda,28.8152727,-96.0284508,46,51,65,156,198,230,269,37,62,36,54,18,18,17,16,30,1,Austin,29.8866295,-96.2769282
9,Matagorda,28.8152727,-96.0284508,1419,1413,1461,1485,1641,1711,1581,1414,1215,1283,1302,1010,1194,1343,1411,1191,2,Brazoria,29.1610141,-95.4534698
9,Matagorda,28.8152727,-96.0284508,15,16,8,12,9,10,14,8,4,11,7,2,4,12,2,3,3,Chambers,29.7163792,-94.6962763
9,Matagorda,28.8152727,-96.0284508,46,39,57,145,169,178,177,47,35,37,56,59,53,47,67,66,4,Colorado,29.6309593,-96.5443489
9,Matagorda,28.8152727,-96.0284508,564,494,471,806,1010,1023,910,367,336,340,347,283,325,291,259,274,5,Fort Bend,29.520214,-95.787262
9,Matagorda,28.8152727,-96.0284508,230,238,201,230,258,236,213,190,173,136,145,76,88,80,136,143,6,Galveston,29.3294758,-94.8954605
9,Matagorda,28.8152727,-96.0284508,4453,4604,4757,5663,5935,5945,5922,3919,3845,3412,3566,2930,3056,2942,3076,3072,7,Harris,29.829487,-95.4614249
9,Matagorda,28.8152727,-96.0284508,20,25,19,24,12,22,11,29,19,18,22,18,7,14,12,11,8,Liberty,30.1509076,-94.8587991
9,Matagorda,28.8152727,-96.0284508,295,249,267,282,331,258,281,206,158,187,131,55,48,47,56,76,10,Montgomery,30.3209926,-95.5279082
9,Matagorda,28.8152727,-96.0284508,11,19,12,20,7,11,12,27,26,24,25,8,2,7,1,5,11,Walker,30.7154629,-95.5878106
9,Matagorda,28.8152727,-96.0284508,34,24,40,177,295,315,287,26,29,39,24,11,15,18,7,32,12,Waller,29.9363935,-96.0026834
9,Matagorda,28.8152727,-96.0284508,568,574,699,866,971,1002,1030,645,682,772,760,777,723,749,701,694,13,Wharton,29.2649159,-96.2705795
