d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
9,Matagorda,28.8152727,-96.0284508,4,1,4,2,0,0,0,2,4,3,2,2,0,0,0,2,1,Austin,29.8866295,-96.2769282
9,Matagorda,28.8152727,-96.0284508,1020,969,1052,965,937,965,1171,1135,990,1011,915,1005,928,750,715,696,2,Brazoria,29.1610141,-95.4534698
9,Matagorda,28.8152727,-96.0284508,5,5,4,7,6,8,10,12,6,2,11,9,3,5,6,8,3,Chambers,29.7163792,-94.6962763
9,Matagorda,28.8152727,-96.0284508,49,51,57,128,185,212,205,70,57,72,26,33,39,18,27,21,4,Colorado,29.6309593,-96.5443489
9,Matagorda,28.8152727,-96.0284508,473,443,513,482,500,433,506,588,524,557,539,305,310,218,229,204,5,Fort Bend,29.520214,-95.787262
9,Matagorda,28.8152727,-96.0284508,115,127,124,102,70,82,117,130,107,90,80,46,54,68,98,54,6,Galveston,29.3294758,-94.8954605
9,Matagorda,28.8152727,-96.0284508,637,588,899,635,445,388,626,1025,1033,1042,964,738,560,485,483,529,7,Harris,29.829487,-95.4614249
9,Matagorda,28.8152727,-96.0284508,24,9,17,8,7,10,24,21,19,10,17,20,14,20,12,12,8,Liberty,30.1509076,-94.8587991
9,Matagorda,28.8152727,-96.0284508,112,81,114,106,124,140,147,116,78,71,105,55,60,46,61,42,10,Montgomery,30.3209926,-95.5279082
9,Matagorda,28.8152727,-96.0284508,3,7,10,5,18,15,16,7,2,6,5,6,1,0,6,1,11,Walker,30.7154629,-95.5878106
9,Matagorda,28.8152727,-96.0284508,17,11,20,17,24,20,37,20,15,13,16,13,8,15,7,7,12,Waller,29.9363935,-96.0026834
9,Matagorda,28.8152727,-96.0284508,511,461,482,583,631,681,660,537,466,490,501,380,465,390,380,398,13,Wharton,29.2649159,-96.2705795
