h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
10,Montgomery,30.3209926,-95.5279082,226,220,201,191,194,188,156,147,174,196,147,115,86,88,61,78,1,Austin,29.8866295,-96.2769282
10,Montgomery,30.3209926,-95.5279082,1890,1761,1812,1879,2136,1958,1956,1264,1198,1062,1074,885,869,927,751,696,2,Brazoria,29.1610141,-95.4534698
10,Montgomery,30.3209926,-95.5279082,308,309,201,211,184,204,182,152,156,157,138,131,97,95,94,64,3,Chambers,29.7163792,-94.6962763
10,Montgomery,30.3209926,-95.5279082,127,127,144,163,154,143,119,99,74,111,61,40,25,31,77,35,4,Colorado,29.6309593,-96.5443489
10,Montgomery,30.3209926,-95.5279082,4979,4677,4526,4308,4021,3722,3446,3180,2863,2686,2399,2063,1829,1823,1675,1643,5,Fort Bend,29.520214,-95.787262
10,Montgomery,30.3209926,-95.5279082,1793,1614,1581,1684,1770,1731,1657,1411,1353,1171,1076,1056,929,974,837,933,6,Galveston,29.3294758,-94.8954605
10,Montgomery,30.3209926,-95.5279082,112283,109976,110827,108570,103988,100817,98488,95053,93193,84912,83506,82536,79547,76148,71153,71849,7,Harris,29.829487,-95.4614249
10,Montgomery,30.3209926,-95.5279082,1278,1240,1181,1141,1163,1100,1169,1021,1128,1031,1109,1120,1020,1075,963,806,8,Liberty,30.1509076,-94.8587991
10,Montgomery,30.3209926,-95.5279082,112,81,114,106,124,140,147,116,78,71,105,55,60,46,61,42,9,Matagorda,28.8152727,-96.0284508
10,Montgomery,30.3209926,-95.5279082,2787,2628,2549,2362,2389,2312,2432,2089,1983,1898,1953,2067,2032,1904,1710,1695,11,Walker,30.7154629,-95.5878106
10,Montgomery,30.3209926,-95.5279082,659,610,570,503,447,519,405,361,473,525,530,430,381,441,420,348,12,Waller,29.9363935,-96.0026834
10,Montgomery,30.3209926,-95.5279082,187,190,189,192,226,236,253,150,157,179,105,167,129,151,102,110,13,Wharton,29.2649159,-96.2705795
