d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
10,Montgomery,30.3209926,-95.5279082,370,385,335,373,360,344,338,249,269,358,218,153,140,155,125,124,1,Austin,29.8866295,-96.2769282
10,Montgomery,30.3209926,-95.5279082,1898,1796,1675,1666,1580,1545,1694,1523,1361,1499,1304,1058,950,844,819,887,2,Brazoria,29.1610141,-95.4534698
10,Montgomery,30.3209926,-95.5279082,438,439,415,453,476,428,425,339,240,220,252,147,168,152,154,91,3,Chambers,29.7163792,-94.6962763
10,Montgomery,30.3209926,-95.5279082,141,137,144,124,139,173,151,115,129,88,71,29,50,30,25,23,4,Colorado,29.6309593,-96.5443489
10,Montgomery,30.3209926,-95.5279082,3966,3849,3769,3408,3188,3058,2908,2550,2353,2631,2450,1727,1867,1738,1798,1510,5,Fort Bend,29.520214,-95.787262
10,Montgomery,30.3209926,-95.5279082,1828,1664,1604,1624,1457,1356,1397,1383,1301,1338,1193,1035,878,870,890,724,6,Galveston,29.3294758,-94.8954605
10,Montgomery,30.3209926,-95.5279082,58645,57433,56486,52321,49454,47011,44282,39194,37876,39887,37732,33717,30621,29074,28491,24181,7,Harris,29.829487,-95.4614249
10,Montgomery,30.3209926,-95.5279082,2324,2163,2227,2551,2728,2510,2131,1754,1561,1125,1422,1021,1007,937,1080,1140,8,Liberty,30.1509076,-94.8587991
10,Montgomery,30.3209926,-95.5279082,295,249,267,282,331,258,281,206,158,187,131,55,48,47,56,76,9,Matagorda,28.8152727,-96.0284508
10,Montgomery,30.3209926,-95.5279082,2447,2261,2285,2063,2007,1892,1713,1773,1661,1702,1661,1463,1275,1294,1326,1331,11,Walker,30.7154629,-95.5878106
10,Montgomery,30.3209926,-95.5279082,1141,982,929,900,813,868,744,818,729,530,549,588,518,385,419,436,12,Waller,29.9363935,-96.0026834
10,Montgomery,30.3209926,-95.5279082,300,324,263,347,320,312,302,277,213,214,197,103,100,99,89,83,13,Wharton,29.2649159,-96.2705795
