h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,d_id,d_sector,d_lat,d_lon
1,Sector 11,29.7671053,-95.3149995,5738,6001,5724,5310,1,Sector 1,29.1296714,-95.135883
1,Sector 11,29.7671053,-95.3149995,4412,4457,4051,3782,2,Sector 2,29.2432001,-95.693312
1,Sector 11,29.7671053,-95.3149995,26832,27553,27369,25844,3,Sector 3,29.4284286,-95.3108234
1,Sector 11,29.7671053,-95.3149995,37698,38499,36992,34221,4,Sector 4,29.4878782,-95.5932727
1,Sector 11,29.7671053,-95.3149995,22244,23262,22154,21396,5,Sector 5,29.6409475,-95.3523606
1,Sector 11,29.7671053,-95.3149995,37363,40268,37983,36410,6,Sector 6,29.627213,-95.441012
1,Sector 11,29.7671053,-95.3149995,12782,12866,12275,11838,7,Sector 7,29.6309501,-95.955476
1,Sector 11,29.7671053,-95.3149995,17867,18582,17786,17425,8,Sector 8,29.7402271,-95.1866561
1,Sector 11,29.7671053,-95.3149995,49750,52343,50688,48797,9,Sector 9,29.7273462,-95.714563
1,Sector 11,29.7671053,-95.3149995,23541,24502,23010,22202,10,Sector 10,29.7143441,-95.5392633
1,Sector 11,29.7671053,-95.3149995,21055,22106,21451,20535,12,Sector 12,29.6266851,-95.1006781
1,Sector 11,29.7671053,-95.3149995,10274,10324,9834,9632,13,Sector 13,29.8093129,-95.4860029
1,Sector 11,29.7671053,-95.3149995,4969,5160,5145,5165,14,Sector 14,29.6764419,-94.5694718
1,Sector 11,29.7671053,-95.3149995,24861,25686,24403,24082,15,Sector 15,29.9168719,-95.4446588
1,Sector 11,29.7671053,-95.3149995,12399,12838,12596,12099,16,Sector 16,29.8508216,-95.3633422
1,Sector 11,29.7671053,-95.3149995,20416,20768,19847,18998,17,Sector 17,29.8161969,-95.2125728
1,Sector 11,29.7671053,-95.3149995,24675,25150,24619,24248,18,Sector 18,29.8364141,-95.7069392
1,Sector 11,29.7671053,-95.3149995,36788,38066,36950,36245,19,Sector 19,30.003221,-95.5040004
1,Sector 11,29.7671053,-95.3149995,2859,2664,2487,2602,20,Sector 20,29.9115394,-96.0087606
1,Sector 11,29.7671053,-95.3149995,12887,13250,12709,12324,21,Sector 21,30.0387541,-95.2928074
1,Sector 11,29.7671053,-95.3149995,24590,25620,24070,23618,22,Sector 22,29.9283957,-95.0048084
1,Sector 11,29.7671053,-95.3149995,3493,3345,3704,4145,23,Sector 23,30.1273154,-94.7167391
1,Sector 11,29.7671053,-95.3149995,7694,7783,7781,7413,24,Sector 24,30.2962874,-95.2792697
1,Sector 11,29.7671053,-95.3149995,15084,15420,14806,14531,25,Sector 25,30.2608305,-95.6333457
