h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,d_id,d_sector,d_lat,d_lon
1,Sector 16,29.8814437,-95.3618019,238,183,216,153,1,Sector 1,29.1942643,-95.1667898
1,Sector 16,29.8814437,-95.3618019,100,114,80,84,2,Sector 2,29.1829815,-95.6401906
1,Sector 16,29.8814437,-95.3618019,478,418,426,398,3,Sector 3,29.4803873,-95.2866936
1,Sector 16,29.8814437,-95.3618019,665,644,613,547,4,Sector 4,29.5132495,-95.539945
1,Sector 16,29.8814437,-95.3618019,798,783,742,780,5,Sector 5,29.6374507,-95.3108203
1,Sector 16,29.8814437,-95.3618019,1235,1201,1191,1154,6,Sector 6,29.6516129,-95.4641014
1,Sector 16,29.8814437,-95.3618019,281,230,206,204,7,Sector 7,29.6242447,-95.8964391
1,Sector 16,29.8814437,-95.3618019,1207,1194,1122,1148,8,Sector 8,29.6987915,-95.2098515
1,Sector 16,29.8814437,-95.3618019,1812,1619,1615,1516,9,Sector 9,29.6987447,-95.6599566
1,Sector 16,29.8814437,-95.3618019,3401,3437,3281,3221,10,Sector 10,29.7392491,-95.5184975
1,Sector 16,29.8814437,-95.3618019,12399,12838,12596,12099,11,Sector 11,29.7452418,-95.3666589
1,Sector 16,29.8814437,-95.3618019,1388,1280,1103,1076,12,Sector 12,29.6681125,-95.0502741
1,Sector 16,29.8814437,-95.3618019,2712,2755,2779,2705,13,Sector 13,29.8194315,-95.5180585
1,Sector 16,29.8814437,-95.3618019,246,255,257,197,14,Sector 14,29.5852766,-94.7047493
1,Sector 16,29.8814437,-95.3618019,3637,4098,3848,3520,15,Sector 15,29.8781997,-95.4654402
1,Sector 16,29.8814437,-95.3618019,1326,1234,1355,1469,17,Sector 17,29.8502378,-95.2479191
1,Sector 16,29.8814437,-95.3618019,1804,1973,1907,1668,18,Sector 18,29.8675793,-95.6774241
1,Sector 16,29.8814437,-95.3618019,4086,4168,4015,3800,19,Sector 19,29.9992377,-95.5717887
1,Sector 16,29.8814437,-95.3618019,139,115,122,83,20,Sector 20,29.9302685,-95.9538541
1,Sector 16,29.8814437,-95.3618019,3630,3845,3943,3581,21,Sector 21,30.0391699,-95.3377273
1,Sector 16,29.8814437,-95.3618019,1666,1589,1569,1508,22,Sector 22,29.9578635,-95.085083
1,Sector 16,29.8814437,-95.3618019,116,111,93,84,23,Sector 23,30.1293246,-94.7878595
1,Sector 16,29.8814437,-95.3618019,686,648,611,619,24,Sector 24,30.3016492,-95.3328725
1,Sector 16,29.8814437,-95.3618019,1635,1467,1350,1264,25,Sector 25,30.2596836,-95.7269317
