h_id,h_sector,h_lat,h_lon,h_Workers,d_id,d_sector,d_lat,d_lon
1,Sector 19,30.003221,-95.5040004,1256,1,Sector 1,29.1296714,-95.135883
1,Sector 19,30.003221,-95.5040004,897,2,Sector 2,29.2432001,-95.693312
1,Sector 19,30.003221,-95.5040004,2466,3,Sector 3,29.4284286,-95.3108234
1,Sector 19,30.003221,-95.5040004,3169,4,Sector 4,29.4878782,-95.5932727
1,Sector 19,30.003221,-95.5040004,1554,5,Sector 5,29.6409475,-95.3523606
1,Sector 19,30.003221,-95.5040004,2788,6,Sector 6,29.627213,-95.441012
1,Sector 19,30.003221,-95.5040004,3031,7,Sector 7,29.6309501,-95.955476
1,Sector 19,30.003221,-95.5040004,2045,8,Sector 8,29.7402271,-95.1866561
1,Sector 19,30.003221,-95.5040004,9648,9,Sector 9,29.7273462,-95.714563
1,Sector 19,30.003221,-95.5040004,2618,10,Sector 10,29.7664175,-95.4895336
1,Sector 19,30.003221,-95.5040004,6150,11,Sector 11,29.7671053,-95.3149995
1,Sector 19,30.003221,-95.5040004,2865,12,Sector 12,29.6266851,-95.1006781
1,Sector 19,30.003221,-95.5040004,2989,13,Sector 13,29.8093129,-95.4860029
1,Sector 19,30.003221,-95.5040004,1212,14,Sector 14,29.6764419,-94.5694718
1,Sector 19,30.003221,-95.5040004,10815,15,Sector 15,29.8436392,-95.4293459
1,Sector 19,30.003221,-95.5040004,4086,16,Sector 16,29.8508216,-95.3633422
1,Sector 19,30.003221,-95.5040004,2888,17,Sector 17,29.8161969,-95.2125728
1,Sector 19,30.003221,-95.5040004,21726,18,Sector 18,29.8364141,-95.7069392
1,Sector 19,30.003221,-95.5040004,1553,20,Sector 20,29.9115394,-96.0087606
1,Sector 19,30.003221,-95.5040004,10084,21,Sector 21,30.0387541,-95.2928074
1,Sector 19,30.003221,-95.5040004,6693,22,Sector 22,29.9283957,-95.0048084
1,Sector 19,30.003221,-95.5040004,1353,23,Sector 23,30.1273154,-94.7167391
1,Sector 19,30.003221,-95.5040004,6036,24,Sector 24,30.2962874,-95.2792697
1,Sector 19,30.003221,-95.5040004,18578,25,Sector 25,30.2608305,-95.6333457
