h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
1,Sector 22,29.9578635,-95.085083,639,568,584,615,548,519,549,438,385,430,454,422,312,354,337,349,1,Sector 1,29.1942643,-95.1667898
1,Sector 22,29.9578635,-95.085083,252,292,282,275,250,221,190,181,193,217,248,176,210,205,205,156,2,Sector 2,29.1829815,-95.6401906
1,Sector 22,29.9578635,-95.085083,1273,1261,1258,1236,1168,1096,1079,966,843,988,844,721,655,724,725,702,3,Sector 3,29.4803873,-95.2866936
1,Sector 22,29.9578635,-95.085083,1475,1550,1488,1433,1283,1202,1168,1006,847,980,935,796,793,716,692,614,4,Sector 4,29.5132495,-95.539945
1,Sector 22,29.9578635,-95.085083,1932,2013,2012,2103,2105,1969,1849,1845,1531,1861,1888,1720,1575,1558,1584,1512,5,Sector 5,29.6374507,-95.3108203
1,Sector 22,29.9578635,-95.085083,1952,1945,1948,1955,1872,1724,1699,1672,1342,1632,1578,1576,1510,1512,1440,1390,6,Sector 6,29.6516129,-95.4641014
1,Sector 22,29.9578635,-95.085083,631,562,524,471,413,427,367,284,250,256,258,212,184,190,170,194,7,Sector 7,29.6242447,-95.8964391
1,Sector 22,29.9578635,-95.085083,4895,4841,4893,4351,4370,4290,4440,4071,3622,4108,3954,3310,3100,2960,2800,2763,8,Sector 8,29.6987915,-95.2098515
1,Sector 22,29.9578635,-95.085083,3616,3675,3906,3791,3853,3503,3512,2950,2577,2824,2572,2493,2309,2212,2121,2288,9,Sector 9,29.6987447,-95.6599566
1,Sector 22,29.9578635,-95.085083,6257,6581,6611,6176,5744,5866,6115,5463,5012,5928,5930,5394,5075,5028,5035,4942,10,Sector 10,29.7392491,-95.5184975
1,Sector 22,29.9578635,-95.085083,24590,25417,25620,24070,23618,23456,25167,25520,20361,23390,21988,21191,20192,19917,19761,19934,11,Sector 11,29.7452418,-95.3666589
1,Sector 22,29.9578635,-95.085083,12983,12497,12119,11002,10423,10130,9893,9310,8089,9394,9297,8330,7705,7459,7461,7611,12,Sector 12,29.6681125,-95.0502741
1,Sector 22,29.9578635,-95.085083,3075,3011,3096,3092,3023,3029,2951,2808,2636,2979,2900,2645,2344,2178,2205,2191,13,Sector 13,29.8194315,-95.5180585
1,Sector 22,29.9578635,-95.085083,1403,1487,1647,1605,1452,1436,1399,1223,1030,1268,1258,1218,1118,988,852,770,14,Sector 14,29.5852766,-94.7047493
1,Sector 22,29.9578635,-95.085083,3379,3496,3424,3366,3229,3277,3199,2957,2678,3062,2980,2646,2539,2478,2516,2492,15,Sector 15,29.8781997,-95.4654402
1,Sector 22,29.9578635,-95.085083,4623,4744,4916,4517,4380,4181,4258,4003,3600,3997,3934,3970,3650,3689,3755,4241,16,Sector 16,29.8814437,-95.3618019
1,Sector 22,29.9578635,-95.085083,3406,3438,3638,3243,3496,3349,3027,2771,2748,3307,3365,3474,3187,3059,2943,2918,17,Sector 17,29.8502378,-95.2479191
1,Sector 22,29.9578635,-95.085083,2951,2799,3037,2890,2670,2450,2373,2199,1953,1958,2009,1732,1556,1567,1379,1416,18,Sector 18,29.8675793,-95.6774241
1,Sector 22,29.9578635,-95.085083,6693,6716,6628,6361,6122,5855,5670,4934,4563,4934,5084,4367,4333,3929,4079,3931,19,Sector 19,29.9992377,-95.5717887
1,Sector 22,29.9578635,-95.085083,269,236,226,206,173,165,189,140,105,147,180,175,168,153,127,134,20,Sector 20,29.9302685,-95.9538541
1,Sector 22,29.9578635,-95.085083,10344,11067,10947,10406,10210,10204,10314,9481,9623,10382,10175,9957,10077,9911,9433,10094,21,Sector 21,30.0391699,-95.3377273
1,Sector 22,29.9578635,-95.085083,2344,2267,2037,1810,1917,1920,1035,933,895,1172,1099,1007,901,922,861,774,23,Sector 23,30.1293246,-94.7878595
1,Sector 22,29.9578635,-95.085083,1988,1888,2116,1978,1860,1634,1502,1122,1157,1231,1361,1154,997,993,901,910,24,Sector 24,30.3016492,-95.3328725
1,Sector 22,29.9578635,-95.085083,4988,5228,4225,4103,3683,3560,3294,2824,2688,2772,2544,2141,1881,1883,1779,1220,25,Sector 25,30.2596836,-95.7269317
