d_id,d_sector,d_lat,d_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,h_id,h_sector,h_lat,h_lon
1,Sector 24,30.3016492,-95.3328725,342,331,274,281,307,310,1,Sector 1,29.1942643,-95.1667898
1,Sector 24,30.3016492,-95.3328725,170,187,130,138,148,133,2,Sector 2,29.1829815,-95.6401906
1,Sector 24,30.3016492,-95.3328725,545,467,468,445,515,359,3,Sector 3,29.4803873,-95.2866936
1,Sector 24,30.3016492,-95.3328725,528,457,459,456,438,376,4,Sector 4,29.5132495,-95.539945
1,Sector 24,30.3016492,-95.3328725,305,285,264,180,216,205,5,Sector 5,29.6374507,-95.3108203
1,Sector 24,30.3016492,-95.3328725,434,408,377,371,350,312,6,Sector 6,29.6516129,-95.4641014
1,Sector 24,30.3016492,-95.3328725,340,332,305,259,252,144,7,Sector 7,29.6242447,-95.8964391
1,Sector 24,30.3016492,-95.3328725,457,396,416,339,311,386,8,Sector 8,29.6987915,-95.2098515
1,Sector 24,30.3016492,-95.3328725,1069,986,900,845,818,737,9,Sector 9,29.6987447,-95.6599566
1,Sector 24,30.3016492,-95.3328725,298,308,289,257,242,271,10,Sector 10,29.7392491,-95.5184975
1,Sector 24,30.3016492,-95.3328725,824,758,778,794,733,731,11,Sector 11,29.7452418,-95.3666589
1,Sector 24,30.3016492,-95.3328725,660,667,603,670,555,505,12,Sector 12,29.6681125,-95.0502741
1,Sector 24,30.3016492,-95.3328725,241,202,182,187,170,202,13,Sector 13,29.8194315,-95.5180585
1,Sector 24,30.3016492,-95.3328725,339,360,357,344,276,312,14,Sector 14,29.5852766,-94.7047493
1,Sector 24,30.3016492,-95.3328725,704,684,747,630,567,664,15,Sector 15,29.8781997,-95.4654402
1,Sector 24,30.3016492,-95.3328725,686,648,611,619,525,591,16,Sector 16,29.8814437,-95.3618019
1,Sector 24,30.3016492,-95.3328725,532,544,485,440,404,349,17,Sector 17,29.8502378,-95.2479191
1,Sector 24,30.3016492,-95.3328725,1050,938,898,841,824,506,18,Sector 18,29.8675793,-95.6774241
1,Sector 24,30.3016492,-95.3328725,3400,3646,3267,3250,2590,2066,19,Sector 19,29.9992377,-95.5717887
1,Sector 24,30.3016492,-95.3328725,163,144,136,132,102,126,20,Sector 20,29.9302685,-95.9538541
1,Sector 24,30.3016492,-95.3328725,2266,2353,2106,2176,1525,1037,21,Sector 21,30.0391699,-95.3377273
1,Sector 24,30.3016492,-95.3328725,1988,2116,1978,1860,1502,1157,22,Sector 22,29.9578635,-95.085083
1,Sector 24,30.3016492,-95.3328725,1780,1735,1776,1782,1356,1142,23,Sector 23,30.1293246,-94.7878595
1,Sector 24,30.3016492,-95.3328725,9646,10006,9251,11584,7980,7279,25,Sector 25,30.2596836,-95.7269317
