h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
1,Sector 2,29.1829815,-95.6401906,5756,6008,5914,6056,5564,5617,1,Sector 1,29.1942643,-95.1667898
1,Sector 2,29.1829815,-95.6401906,1064,960,918,895,768,719,3,Sector 3,29.4803873,-95.2866936
1,Sector 2,29.1829815,-95.6401906,2368,2278,2068,1951,1770,1455,4,Sector 4,29.5132495,-95.539945
1,Sector 2,29.1829815,-95.6401906,460,455,514,440,418,419,5,Sector 5,29.6374507,-95.3108203
1,Sector 2,29.1829815,-95.6401906,789,796,799,754,697,901,6,Sector 6,29.6516129,-95.4641014
1,Sector 2,29.1829815,-95.6401906,3201,2837,2684,2508,1821,1723,7,Sector 7,29.6242447,-95.8964391
1,Sector 2,29.1829815,-95.6401906,680,708,604,640,533,509,8,Sector 8,29.6987915,-95.2098515
1,Sector 2,29.1829815,-95.6401906,2970,2824,2851,2876,2603,2189,9,Sector 9,29.6987447,-95.6599566
1,Sector 2,29.1829815,-95.6401906,2023,1988,1950,1726,1802,1565,10,Sector 10,29.7392491,-95.5184975
1,Sector 2,29.1829815,-95.6401906,4412,4457,4051,3782,3701,3091,11,Sector 11,29.7452418,-95.3666589
1,Sector 2,29.1829815,-95.6401906,1637,1390,1336,1260,1245,1125,12,Sector 12,29.6681125,-95.0502741
1,Sector 2,29.1829815,-95.6401906,523,551,538,603,517,516,13,Sector 13,29.8194315,-95.5180585
1,Sector 2,29.1829815,-95.6401906,702,608,510,507,566,534,14,Sector 14,29.5852766,-94.7047493
1,Sector 2,29.1829815,-95.6401906,516,465,484,449,431,444,15,Sector 15,29.8781997,-95.4654402
1,Sector 2,29.1829815,-95.6401906,281,324,310,300,292,263,16,Sector 16,29.8814437,-95.3618019
1,Sector 2,29.1829815,-95.6401906,143,155,156,140,138,127,17,Sector 17,29.8502378,-95.2479191
1,Sector 2,29.1829815,-95.6401906,971,1000,938,912,844,687,18,Sector 18,29.8675793,-95.6774241
1,Sector 2,29.1829815,-95.6401906,897,940,839,846,711,632,19,Sector 19,29.9992377,-95.5717887
1,Sector 2,29.1829815,-95.6401906,221,193,225,176,186,157,20,Sector 20,29.9302685,-95.9538541
1,Sector 2,29.1829815,-95.6401906,404,347,390,396,389,375,21,Sector 21,30.0391699,-95.3377273
1,Sector 2,29.1829815,-95.6401906,254,260,230,234,218,180,22,Sector 22,29.9578635,-95.085083
1,Sector 2,29.1829815,-95.6401906,53,44,53,46,48,43,23,Sector 23,30.1293246,-94.7878595
1,Sector 2,29.1829815,-95.6401906,170,187,130,138,148,133,24,Sector 24,30.3016492,-95.3328725
1,Sector 2,29.1829815,-95.6401906,521,425,399,393,393,274,25,Sector 25,30.2596836,-95.7269317
