h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
1,Sector 5,29.6409475,-95.3523606,1198,1239,1253,1132,1143,1244,1,Sector 1,29.1296714,-95.135883
1,Sector 5,29.6409475,-95.3523606,460,455,514,440,418,419,2,Sector 2,29.2432001,-95.693312
1,Sector 5,29.6409475,-95.3523606,4981,5527,5352,5239,5025,4969,3,Sector 3,29.4284286,-95.3108234
1,Sector 5,29.6409475,-95.3523606,1958,1994,1995,1925,1632,1633,4,Sector 4,29.4878782,-95.5932727
1,Sector 5,29.6409475,-95.3523606,1900,1906,1904,1771,1800,1827,6,Sector 6,29.627213,-95.441012
1,Sector 5,29.6409475,-95.3523606,598,588,645,577,559,353,7,Sector 7,29.6309501,-95.955476
1,Sector 5,29.6409475,-95.3523606,4180,4584,4691,4619,4428,4684,8,Sector 8,29.7402271,-95.1866561
1,Sector 5,29.6409475,-95.3523606,1996,1900,1981,1997,1941,1870,9,Sector 9,29.7273462,-95.714563
1,Sector 5,29.6409475,-95.3523606,781,787,771,774,801,764,10,Sector 10,29.7143441,-95.5392633
1,Sector 5,29.6409475,-95.3523606,3740,3879,3691,3835,3787,4065,11,Sector 11,29.7671053,-95.3149995
1,Sector 5,29.6409475,-95.3523606,3819,4026,4143,4256,4145,4032,12,Sector 12,29.6266851,-95.1006781
1,Sector 5,29.6409475,-95.3523606,353,380,343,374,343,408,13,Sector 13,29.8093129,-95.4860029
1,Sector 5,29.6409475,-95.3523606,958,1009,1109,1063,1016,1028,14,Sector 14,29.6764419,-94.5694718
1,Sector 5,29.6409475,-95.3523606,900,937,977,864,879,965,15,Sector 15,29.9168719,-95.4446588
1,Sector 5,29.6409475,-95.3523606,798,783,742,780,732,874,16,Sector 16,29.8508216,-95.3633422
1,Sector 5,29.6409475,-95.3523606,1454,1583,1564,1518,1411,1362,17,Sector 17,29.8161969,-95.2125728
1,Sector 5,29.6409475,-95.3523606,899,811,902,892,963,668,18,Sector 18,29.8364141,-95.7069392
1,Sector 5,29.6409475,-95.3523606,1563,1489,1397,1455,1519,1247,19,Sector 19,30.003221,-95.5040004
1,Sector 5,29.6409475,-95.3523606,133,118,91,107,110,134,20,Sector 20,29.9115394,-96.0087606
1,Sector 5,29.6409475,-95.3523606,853,849,810,786,852,608,21,Sector 21,30.0387541,-95.2928074
1,Sector 5,29.6409475,-95.3523606,1932,2012,2103,2105,1849,1531,22,Sector 22,29.9283957,-95.0048084
1,Sector 5,29.6409475,-95.3523606,423,420,577,667,554,472,23,Sector 23,30.1273154,-94.7167391
1,Sector 5,29.6409475,-95.3523606,601,624,619,575,493,517,24,Sector 24,30.2962874,-95.2792697
1,Sector 5,29.6409475,-95.3523606,967,962,1008,865,888,803,25,Sector 25,30.2608305,-95.6333457
