d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
1,Sector 8,29.6987915,-95.2098515,2134,2116,2143,1884,1966,1754,1768,1602,1705,1793,1885,1607,1389,1260,1439,1276,1,Sector 1,29.1942643,-95.1667898
1,Sector 8,29.6987915,-95.2098515,680,622,708,604,640,542,533,501,509,491,535,455,412,362,395,417,2,Sector 2,29.1829815,-95.6401906
1,Sector 8,29.6987915,-95.2098515,7685,7665,7747,7357,7252,7118,7175,6819,6879,6901,6605,5838,5696,5520,5473,5613,3,Sector 3,29.4803873,-95.2866936
1,Sector 8,29.6987915,-95.2098515,1884,1862,1844,1759,1768,1693,1664,1207,1288,1216,1170,924,1024,1038,932,992,4,Sector 4,29.5132495,-95.539945
1,Sector 8,29.6987915,-95.2098515,4688,4697,4815,4300,4164,4196,3723,3607,3666,4070,4125,3507,3282,3298,3232,3600,5,Sector 5,29.6374507,-95.3108203
1,Sector 8,29.6987915,-95.2098515,1823,1873,1959,1822,1690,1755,1653,1648,1705,1841,1662,1474,1413,1401,1387,1491,6,Sector 6,29.6516129,-95.4641014
1,Sector 8,29.6987915,-95.2098515,855,775,778,757,686,717,685,588,442,543,526,344,362,373,393,428,7,Sector 7,29.6242447,-95.8964391
1,Sector 8,29.6987915,-95.2098515,2153,2136,2198,2132,2225,2289,2261,2300,2015,2228,2116,1863,1848,1862,1746,1915,9,Sector 9,29.6987447,-95.6599566
1,Sector 8,29.6987915,-95.2098515,826,793,810,821,863,921,926,764,828,845,779,830,806,830,806,885,10,Sector 10,29.7392491,-95.5184975
1,Sector 8,29.6987915,-95.2098515,4962,4710,5214,4447,4678,4513,4505,4202,4618,4854,4658,3940,3491,3675,3793,4035,11,Sector 11,29.7452418,-95.3666589
1,Sector 8,29.6987915,-95.2098515,12063,12353,12963,12073,11857,11429,11559,11340,11664,11716,11345,10830,10234,10828,10508,10924,12,Sector 12,29.6681125,-95.0502741
1,Sector 8,29.6987915,-95.2098515,432,415,477,451,442,538,521,511,598,532,479,516,451,447,467,479,13,Sector 13,29.8194315,-95.5180585
1,Sector 8,29.6987915,-95.2098515,2404,2313,2448,2374,2342,2305,2320,1941,2004,2068,2085,1693,1544,1633,1774,1618,14,Sector 14,29.5852766,-94.7047493
1,Sector 8,29.6987915,-95.2098515,1229,1201,1306,1190,1246,1217,1278,1325,1405,1434,1295,1246,1103,1091,1090,1106,15,Sector 15,29.8781997,-95.4654402
1,Sector 8,29.6987915,-95.2098515,1207,1145,1194,1122,1148,1179,1063,1151,1286,1272,1184,1091,985,1001,972,981,16,Sector 16,29.8814437,-95.3618019
1,Sector 8,29.6987915,-95.2098515,3549,3575,3796,3429,3353,3424,3273,3098,3490,3824,3604,3288,2810,2833,2765,2895,17,Sector 17,29.8502378,-95.2479191
1,Sector 8,29.6987915,-95.2098515,1135,1075,1147,1080,1209,1145,1247,1011,785,924,919,860,720,758,731,712,18,Sector 18,29.8675793,-95.6774241
1,Sector 8,29.6987915,-95.2098515,2002,1998,2139,2004,1994,2020,2087,2111,1806,2049,1896,1752,1517,1479,1525,1531,19,Sector 19,29.9992377,-95.5717887
1,Sector 8,29.6987915,-95.2098515,209,173,168,146,129,146,143,183,190,176,170,140,121,129,112,101,20,Sector 20,29.9302685,-95.9538541
1,Sector 8,29.6987915,-95.2098515,1207,1150,1271,1123,1120,1150,1104,952,699,912,803,621,557,593,573,538,21,Sector 21,30.0391699,-95.3377273
1,Sector 8,29.6987915,-95.2098515,4895,4841,4893,4351,4370,4290,4440,4071,3622,4108,3954,3310,3100,2960,2800,2763,22,Sector 22,29.9578635,-95.085083
1,Sector 8,29.6987915,-95.2098515,1119,1063,1171,1139,1227,1278,1198,1052,1023,864,707,568,581,471,597,618,23,Sector 23,30.1293246,-94.7878595
1,Sector 8,29.6987915,-95.2098515,979,899,926,864,842,824,817,805,772,801,632,483,488,488,497,466,24,Sector 24,30.3016492,-95.3328725
1,Sector 8,29.6987915,-95.2098515,1302,1210,1280,1202,1225,1124,1157,1088,1125,1052,915,899,777,750,695,790,25,Sector 25,30.2596836,-95.7269317
