h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
11,Walker,30.7154629,-95.5878106,11,9,13,10,21,26,20,11,9,3,7,0,4,0,0,0,1,Austin,29.8866295,-96.2769282
11,Walker,30.7154629,-95.5878106,96,94,79,109,173,194,194,87,57,68,48,27,29,37,35,23,2,Brazoria,29.1610141,-95.4534698
11,Walker,30.7154629,-95.5878106,35,24,19,11,11,10,27,22,9,16,11,9,4,7,3,7,3,Chambers,29.7163792,-94.6962763
11,Walker,30.7154629,-95.5878106,7,8,8,5,16,21,19,5,6,6,4,4,4,2,6,5,4,Colorado,29.6309593,-96.5443489
11,Walker,30.7154629,-95.5878106,127,149,141,139,298,303,263,115,97,93,68,66,39,35,44,36,5,Fort Bend,29.520214,-95.787262
11,Walker,30.7154629,-95.5878106,142,131,101,100,263,237,283,121,92,85,77,76,64,91,115,135,6,Galveston,29.3294758,-94.8954605
11,Walker,30.7154629,-95.5878106,3615,3541,3401,3611,4728,4442,4433,3097,2646,2766,2625,2129,1960,1868,2088,2035,7,Harris,29.829487,-95.4614249
11,Walker,30.7154629,-95.5878106,113,109,105,127,111,137,111,103,125,123,126,98,84,99,82,116,8,Liberty,30.1509076,-94.8587991
11,Walker,30.7154629,-95.5878106,3,7,10,5,18,15,16,7,2,6,5,6,1,0,6,1,9,Matagorda,28.8152727,-96.0284508
11,Walker,30.7154629,-95.5878106,2447,2261,2285,2063,2007,1892,1713,1773,1661,1702,1661,1463,1275,1294,1326,1331,10,Montgomery,30.3209926,-95.5279082
11,Walker,30.7154629,-95.5878106,54,40,50,31,34,61,43,24,20,20,21,7,19,23,14,13,12,Waller,29.9363935,-96.0026834
11,Walker,30.7154629,-95.5878106,15,8,15,9,18,32,39,7,5,9,17,8,9,7,7,5,13,Wharton,29.2649159,-96.2705795
