d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
11,Walker,30.7154629,-95.5878106,84,65,76,69,89,91,83,79,97,97,59,46,29,18,39,28,1,Austin,29.8866295,-96.2769282
11,Walker,30.7154629,-95.5878106,395,397,386,263,285,254,323,314,371,406,426,481,424,413,477,415,2,Brazoria,29.1610141,-95.4534698
11,Walker,30.7154629,-95.5878106,87,91,91,85,99,109,106,85,79,61,78,71,98,79,66,76,3,Chambers,29.7163792,-94.6962763
11,Walker,30.7154629,-95.5878106,8,13,10,17,41,47,34,6,18,10,19,0,2,3,2,1,4,Colorado,29.6309593,-96.5443489
11,Walker,30.7154629,-95.5878106,595,631,585,492,706,667,541,507,501,571,592,434,470,501,482,508,5,Fort Bend,29.520214,-95.787262
11,Walker,30.7154629,-95.5878106,394,378,347,300,254,228,298,329,360,427,439,513,498,433,427,425,6,Galveston,29.3294758,-94.8954605
11,Walker,30.7154629,-95.5878106,3144,3130,2899,2527,2461,2496,2351,2479,2382,2457,2560,2520,2352,2404,2418,2321,7,Harris,29.829487,-95.4614249
11,Walker,30.7154629,-95.5878106,263,249,221,287,319,341,380,240,209,227,247,244,217,198,200,267,8,Liberty,30.1509076,-94.8587991
11,Walker,30.7154629,-95.5878106,11,19,12,20,7,11,12,27,26,24,25,8,2,7,1,5,9,Matagorda,28.8152727,-96.0284508
11,Walker,30.7154629,-95.5878106,2787,2628,2549,2362,2389,2312,2432,2089,1983,1898,1953,2067,2032,1904,1710,1695,10,Montgomery,30.3209926,-95.5279082
11,Walker,30.7154629,-95.5878106,101,122,93,87,91,91,111,90,98,79,89,83,82,57,85,65,12,Waller,29.9363935,-96.0026834
11,Walker,30.7154629,-95.5878106,31,21,18,17,11,17,6,27,24,25,22,10,4,7,4,4,13,Wharton,29.2649159,-96.2705795
