h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
12,Waller,29.9363935,-96.0026834,359,343,329,321,351,329,329,356,381,258,280,175,126,94,97,130,1,Austin,29.8866295,-96.2769282
12,Waller,29.9363935,-96.0026834,122,123,117,135,114,112,131,112,82,93,109,86,71,68,68,60,2,Brazoria,29.1610141,-95.4534698
12,Waller,29.9363935,-96.0026834,21,13,15,10,16,6,18,8,13,12,16,5,8,3,4,8,3,Chambers,29.7163792,-94.6962763
12,Waller,29.9363935,-96.0026834,40,39,33,45,34,46,41,32,32,22,14,12,10,5,8,6,4,Colorado,29.6309593,-96.5443489
12,Waller,29.9363935,-96.0026834,1487,1361,1179,1231,949,918,736,758,676,532,489,476,370,360,305,318,5,Fort Bend,29.520214,-95.787262
12,Waller,29.9363935,-96.0026834,143,121,122,141,92,103,110,112,108,119,98,80,80,87,71,80,6,Galveston,29.3294758,-94.8954605
12,Waller,29.9363935,-96.0026834,9687,9180,9057,8923,8600,8446,7887,8623,7799,5639,5934,5267,5236,4946,4950,5219,7,Harris,29.829487,-95.4614249
12,Waller,29.9363935,-96.0026834,50,40,46,46,39,31,49,35,44,35,43,34,38,33,30,41,8,Liberty,30.1509076,-94.8587991
12,Waller,29.9363935,-96.0026834,17,11,20,17,24,20,37,20,15,13,16,13,8,15,7,7,9,Matagorda,28.8152727,-96.0284508
12,Waller,29.9363935,-96.0026834,1141,982,929,900,813,868,744,818,729,530,549,588,518,385,419,436,10,Montgomery,30.3209926,-95.5279082
12,Waller,29.9363935,-96.0026834,101,122,93,87,91,91,111,90,98,79,89,83,82,57,85,65,11,Walker,30.7154629,-95.5878106
12,Waller,29.9363935,-96.0026834,27,37,36,59,69,90,65,30,18,29,12,14,10,12,8,8,13,Wharton,29.2649159,-96.2705795
