d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
12,Waller,29.9363935,-96.0026834,708,811,603,587,598,504,464,394,445,492,514,550,551,561,497,359,1,Austin,29.8866295,-96.2769282
12,Waller,29.9363935,-96.0026834,191,131,115,183,286,281,241,103,140,154,183,111,120,121,85,85,2,Brazoria,29.1610141,-95.4534698
12,Waller,29.9363935,-96.0026834,27,19,17,22,20,30,26,18,15,10,16,13,4,10,4,3,3,Chambers,29.7163792,-94.6962763
12,Waller,29.9363935,-96.0026834,99,87,79,141,197,157,169,81,84,83,53,44,39,43,32,24,4,Colorado,29.6309593,-96.5443489
12,Waller,29.9363935,-96.0026834,1412,1415,1191,1228,1227,1108,1014,840,905,1024,1186,746,808,797,757,622,5,Fort Bend,29.520214,-95.787262
12,Waller,29.9363935,-96.0026834,148,129,115,84,131,110,82,80,121,122,155,111,160,117,117,101,6,Galveston,29.3294758,-94.8954605
12,Waller,29.9363935,-96.0026834,6908,6428,5815,5601,5408,5291,4502,4162,4682,5475,5794,5481,5379,5043,4681,3692,7,Harris,29.829487,-95.4614249
12,Waller,29.9363935,-96.0026834,61,51,52,51,49,51,60,39,42,45,53,50,28,16,39,23,8,Liberty,30.1509076,-94.8587991
12,Waller,29.9363935,-96.0026834,34,24,40,177,295,315,287,26,29,39,24,11,15,18,7,32,9,Matagorda,28.8152727,-96.0284508
12,Waller,29.9363935,-96.0026834,659,610,570,503,447,519,405,361,473,525,530,430,381,441,420,348,10,Montgomery,30.3209926,-95.5279082
12,Waller,29.9363935,-96.0026834,54,40,50,31,34,61,43,24,20,20,21,7,19,23,14,13,11,Walker,30.7154629,-95.5878106
12,Waller,29.9363935,-96.0026834,98,138,118,195,275,287,280,79,80,96,98,50,65,61,55,63,13,Wharton,29.2649159,-96.2705795
