h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
13,Wharton,29.2649159,-96.2705795,127,98,135,165,209,282,420,360,410,398,357,162,224,176,90,199,1,Austin,29.8866295,-96.2769282
13,Wharton,29.2649159,-96.2705795,727,773,722,771,886,902,857,711,560,597,640,395,493,498,534,488,2,Brazoria,29.1610141,-95.4534698
13,Wharton,29.2649159,-96.2705795,20,25,8,14,8,10,13,12,10,12,8,2,8,3,3,0,3,Chambers,29.7163792,-94.6962763
13,Wharton,29.2649159,-96.2705795,238,242,259,304,285,296,306,253,203,233,241,192,217,226,234,231,4,Colorado,29.6309593,-96.5443489
13,Wharton,29.2649159,-96.2705795,1893,1906,1848,1912,1842,1895,1636,1653,1500,1517,1418,1240,1385,1255,1266,1318,5,Fort Bend,29.520214,-95.787262
13,Wharton,29.2649159,-96.2705795,292,268,246,264,238,195,219,205,218,205,179,132,113,131,120,120,6,Galveston,29.3294758,-94.8954605
13,Wharton,29.2649159,-96.2705795,5153,5169,5013,5738,5846,5759,5794,4984,5221,4541,4513,3312,3722,3616,3567,3679,7,Harris,29.829487,-95.4614249
13,Wharton,29.2649159,-96.2705795,22,16,26,30,8,32,20,19,17,16,23,17,7,18,16,8,8,Liberty,30.1509076,-94.8587991
13,Wharton,29.2649159,-96.2705795,511,461,482,583,631,681,660,537,466,490,501,380,465,390,380,398,9,Matagorda,28.8152727,-96.0284508
13,Wharton,29.2649159,-96.2705795,300,324,263,347,320,312,302,277,213,214,197,103,100,99,89,83,10,Montgomery,30.3209926,-95.5279082
13,Wharton,29.2649159,-96.2705795,31,21,18,17,11,17,6,27,24,25,22,10,4,7,4,4,11,Walker,30.7154629,-95.5878106
13,Wharton,29.2649159,-96.2705795,98,138,118,195,275,287,280,79,80,96,98,50,65,61,55,63,12,Waller,29.9363935,-96.0026834
