d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
13,Wharton,29.2649159,-96.2705795,146,152,118,203,166,152,155,88,65,76,64,91,91,73,87,92,1,Austin,29.8866295,-96.2769282
13,Wharton,29.2649159,-96.2705795,403,351,361,449,458,431,514,317,363,471,510,495,363,319,305,278,2,Brazoria,29.1610141,-95.4534698
13,Wharton,29.2649159,-96.2705795,23,12,21,8,11,21,15,13,14,14,3,8,6,12,10,3,3,Chambers,29.7163792,-94.6962763
13,Wharton,29.2649159,-96.2705795,255,259,243,352,401,439,486,266,321,244,253,322,273,290,258,251,4,Colorado,29.6309593,-96.5443489
13,Wharton,29.2649159,-96.2705795,1404,1367,1477,1502,1462,1288,1276,1088,1185,1428,1518,1045,1198,1120,1226,1078,5,Fort Bend,29.520214,-95.787262
13,Wharton,29.2649159,-96.2705795,130,134,141,100,98,98,147,98,143,119,120,108,96,100,112,92,6,Galveston,29.3294758,-94.8954605
13,Wharton,29.2649159,-96.2705795,1200,1140,1224,1044,1004,987,1128,903,1297,1341,1297,1326,1190,1184,1094,1048,7,Harris,29.829487,-95.4614249
13,Wharton,29.2649159,-96.2705795,38,19,40,21,28,25,41,17,28,35,28,28,30,39,26,25,8,Liberty,30.1509076,-94.8587991
13,Wharton,29.2649159,-96.2705795,568,574,699,866,971,1002,1030,645,682,772,760,777,723,749,701,694,9,Matagorda,28.8152727,-96.0284508
13,Wharton,29.2649159,-96.2705795,187,190,189,192,226,236,253,150,157,179,105,167,129,151,102,110,10,Montgomery,30.3209926,-95.5279082
13,Wharton,29.2649159,-96.2705795,15,8,15,9,18,32,39,7,5,9,17,8,9,7,7,5,11,Walker,30.7154629,-95.5878106
13,Wharton,29.2649159,-96.2705795,27,37,36,59,69,90,65,30,18,29,12,14,10,12,8,8,12,Waller,29.9363935,-96.0026834
